root_id,upstream_set_5_2Ns,set_5_syn_count,const,input_synapses_x,%_set_5_input,input_synapses_y,input_synapses,pct_set_5_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940611549902,3,94,1,94,100.0,94,0,0.0,31.333333333333332,local,0
720575940611715813,4,111,1,111,100.0,111,0,0.0,27.75,local,0
720575940611735514,1,30,1,30,100.0,30,0,0.0,30.0,projection,524
720575940611782874,2,37,1,37,100.0,37,0,0.0,18.5,projection,60
720575940611849826,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940611858906,1,25,1,25,100.0,25,0,0.0,25.0,local,0
720575940611859057,1,18,1,18,100.0,18,0,0.0,18.0,projection,181
720575940612208858,4,267,1,267,100.0,267,0,0.0,66.75,local,0
720575940612256938,1,44,1,44,100.0,44,0,0.0,44.0,local,0
720575940612261603,2,142,1,142,100.0,142,0,0.0,71.0,local,0
720575940612270307,2,19,1,19,100.0,19,0,0.0,9.5,local,0
720575940612277090,3,80,1,80,100.0,80,0,0.0,26.666666666666668,local,0
720575940612319155,1,25,1,25,100.0,25,0,0.0,25.0,projection,198
720575940612339123,2,69,1,69,100.0,69,0,0.0,34.5,local,0
720575940612354034,3,213,1,213,100.0,213,0,0.0,71.0,local,0
720575940612423922,1,35,1,35,100.0,35,0,0.0,35.0,local,0
720575940612438514,2,86,1,86,100.0,86,0,0.0,43.0,local,0
720575940612443890,1,45,1,45,100.0,45,0,0.0,45.0,local,0
720575940612470755,2,48,1,48,100.0,48,0,0.0,24.0,local,0
720575940612478383,2,16,1,16,100.0,16,0,0.0,8.0,local,0
720575940612564135,1,20,1,20,100.0,20,0,0.0,20.0,local,0
720575940612572131,2,32,1,32,100.0,32,0,0.0,16.0,projection,1229
720575940612603289,1,15,1,15,100.0,15,0,0.0,15.0,projection,378
720575940612686233,2,69,1,69,100.0,69,0,0.0,34.5,local,0
720575940612692633,5,346,1,346,100.0,346,0,0.0,69.2,local,0
720575940612692889,1,40,1,40,100.0,40,0,0.0,40.0,local,0
720575940612772915,2,285,1,285,100.0,285,0,0.0,142.5,local,0
720575940612906518,1,16,1,16,100.0,16,0,0.0,16.0,local,0
720575940612910503,1,27,1,27,100.0,27,0,0.0,27.0,local,0
720575940612984981,2,36,1,36,100.0,36,0,0.0,18.0,local,0
720575940613004402,2,125,1,125,100.0,125,0,0.0,62.5,local,0
720575940613120721,2,44,1,44,100.0,44,0,0.0,22.0,local,0
720575940613170385,3,131,1,131,100.0,131,0,0.0,43.666666666666664,local,0
720575940613222195,1,50,1,50,100.0,50,0,0.0,50.0,local,0
720575940613347299,2,56,1,56,100.0,56,0,0.0,28.0,projection,12
720575940613356851,3,87,1,87,100.0,87,0,0.0,29.0,local,0
720575940613408552,1,24,1,24,100.0,24,0,0.0,24.0,projection,65
720575940613501337,1,33,1,33,100.0,33,0,0.0,33.0,projection,269
720575940613533607,2,15,1,15,100.0,15,0,0.0,7.5,local,0
720575940613563117,3,179,1,179,100.0,179,0,0.0,59.666666666666664,local,0
720575940613640685,6,442,1,442,100.0,442,0,0.0,73.66666666666667,local,0
720575940613695346,2,21,1,21,100.0,21,0,0.0,10.5,local,0
720575940613743569,2,37,1,37,100.0,37,0,0.0,18.5,local,0
720575940613747734,4,379,1,379,100.0,379,0,0.0,94.75,local,0
720575940613825814,1,60,1,60,100.0,60,0,0.0,60.0,local,0
720575940613828202,1,42,1,42,100.0,42,0,0.0,42.0,local,0
720575940613929391,1,6,1,6,100.0,6,0,0.0,6.0,local,0
720575940613941618,1,33,1,33,100.0,33,0,0.0,33.0,projection,279
720575940613943215,1,123,1,123,100.0,123,0,0.0,123.0,local,0
720575940613944994,3,95,1,95,100.0,95,0,0.0,31.666666666666668,projection,4319
720575940613992657,1,32,1,32,100.0,32,0,0.0,32.0,projection,4357
720575940614099818,1,9,1,9,100.0,9,0,0.0,9.0,local,0
720575940614128691,2,77,1,77,100.0,77,0,0.0,38.5,projection,10
720575940614165201,1,93,1,93,100.0,93,0,0.0,93.0,local,0
720575940614352278,1,33,1,33,100.0,33,0,0.0,33.0,local,0
720575940614432918,1,147,1,147,100.0,147,0,0.0,147.0,projection,1430
720575940614465478,1,21,1,21,100.0,21,0,0.0,21.0,local,0
720575940614572542,1,13,1,13,100.0,13,0,0.0,13.0,projection,144
720575940614604525,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940614604962,1,30,1,30,100.0,30,0,0.0,30.0,projection,382
720575940614635175,3,115,1,115,100.0,115,0,0.0,38.333333333333336,projection,5
