root_id,upstream_set_2_PSO_SAs,set_2_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940603579616,1,5,1,ACH,right,40.0,180.0,projection,151
720575940604030566,3,22,1,ACH,right,76.0,271.0,local,0
720575940604150560,1,23,1,GABA,right,816.0,994.0,local,0
720575940604459697,11,194,1,GABA,left,250.0,468.0,local,0
720575940604891360,4,121,1,,left,964.0,678.0,local,0
720575940605158572,3,286,1,GABA,left,655.0,487.0,local,0
720575940605443017,13,129,1,GABA,right,171.0,240.0,local,0
720575940605698080,1,7,1,ACH,right,509.0,227.0,local,0
720575940605703456,6,69,1,ACH,right,238.0,111.0,local,0
720575940605971330,2,28,1,ACH,left,364.0,399.0,local,0
720575940606720265,1,9,1,ACH,right,79.0,250.0,projection,39
720575940606866377,2,21,1,GABA,right,1484.0,1663.0,local,0
720575940606867145,4,26,1,ACH,right,248.0,199.0,projection,16
720575940607253170,3,21,1,GABA,right,746.0,654.0,projection,46
720575940607472988,5,272,1,GABA,right,968.0,761.0,local,0
720575940607872969,1,19,1,ACH,left,132.0,199.0,local,0
720575940608239371,5,76,1,ACH,left,275.0,212.0,local,0
720575940608601355,2,48,1,ACH,right,739.0,651.0,projection,651
720575940608713993,4,129,1,ACH,left,541.0,319.0,local,0
720575940608883780,2,67,1,GABA,left,111.0,140.0,projection,135
720575940609237187,1,5,1,GABA,left,278.0,313.0,projection,313
720575940609425874,2,13,1,ACH,left,182.0,212.0,projection,6
720575940609551826,2,12,1,GABA,left,69.0,130.0,projection,130
720575940609592270,1,6,1,GLUT,right,2112.0,865.0,local,0
720575940609993284,1,7,1,ACH,left,1547.0,640.0,local,0
720575940610356849,1,8,1,,left,70.0,54.0,projection,24
720575940610524339,7,155,1,GABA,left,275.0,720.0,local,0
720575940610550830,2,18,1,ACH,left,482.0,429.0,local,0
720575940610916465,13,559,1,GABA,right,1999.0,844.0,local,0
720575940611018865,2,16,1,GABA,right,442.0,727.0,local,0
720575940611366058,2,15,1,ACH,left,647.0,1321.0,local,0
720575940611411057,2,21,1,GABA,right,496.0,457.0,projection,457
720575940611475698,10,157,1,GABA,left,241.0,356.0,local,0
720575940611667173,2,18,1,GLUT,right,148.0,64.0,projection,64
720575940611715813,3,58,1,GLUT,left,873.0,1896.0,local,0
720575940611756723,4,47,1,SER,right,740.0,236.0,local,0
720575940611780648,3,33,1,GLUT,left,153.0,45.0,projection,45
720575940612423922,7,325,1,GABA,left,2894.0,2371.0,local,0
720575940612692633,1,10,1,ACH,left,2734.0,1358.0,local,0
720575940612692889,1,17,1,ACH,left,1822.0,199.0,projection,31
720575940612738197,2,17,1,,right,159.0,214.0,projection,165
720575940612910503,2,15,1,ACH,right,192.0,274.0,local,0
720575940612984981,1,6,1,ACH,left,300.0,804.0,local,0
720575940612987134,1,5,1,GABA,left,62.0,63.0,projection,63
720575940613133718,2,29,1,ACH,right,290.0,240.0,local,0
720575940613222195,10,183,1,GABA,left,259.0,633.0,local,0
720575940613361010,3,29,1,ACH,left,311.0,551.0,projection,551
720575940613426343,3,62,1,ACH,left,383.0,218.0,local,0
720575940613433519,1,8,1,GABA,left,20.0,99.0,local,0
720575940613524973,2,167,1,ACH,left,706.0,161.0,projection,119
720575940613527789,4,60,1,ACH,right,171.0,108.0,local,0
720575940613670893,2,14,1,GABA,left,569.0,725.0,projection,204
720575940613825814,2,14,1,DA,left,1419.0,446.0,local,0
720575940613943215,2,11,1,ACH,right,1144.0,808.0,local,0
720575940614061930,2,14,1,,right,32.0,194.0,local,0
720575940614128691,3,37,1,ACH,left,1151.0,556.0,projection,25
720575940614155462,2,11,1,ACH,left,43.0,249.0,projection,23
720575940614418794,1,5,1,SER,left,515.0,258.0,local,0
720575940614635175,17,924,1,GABA,right,4915.0,2947.0,projection,9
720575940614660519,1,5,1,DA,right,1626.0,578.0,local,0
720575940614714514,6,95,1,ACH,left,1173.0,819.0,local,0
720575940614799007,1,10,1,GABA,left,96.0,60.0,projection,41
720575940614859893,2,67,1,GABA,left,126.0,143.0,projection,143
720575940614916725,5,37,1,ACH,left,236.0,334.0,local,0
720575940614954536,1,11,1,GABA,right,798.0,1808.0,local,0
720575940615034408,1,12,1,ACH,left,154.0,218.0,local,0
720575940615050346,5,59,1,ACH,right,454.0,838.0,local,0
720575940615071391,1,5,1,ACH,left,432.0,1207.0,local,0
720575940615076162,7,88,1,ACH,left,172.0,215.0,projection,41
720575940615245107,4,74,1,ACH,left,517.0,232.0,local,0
720575940615296818,11,372,1,ACH,left,1952.0,729.0,local,0
720575940615311628,2,44,1,GABA,right,86.0,136.0,projection,136
720575940615407583,1,8,1,,right,593.0,542.0,local,0
720575940615495839,5,90,1,GABA,left,722.0,660.0,local,0
720575940615626018,2,32,1,GABA,right,68.0,42.0,projection,42
720575940615742353,1,7,1,ACH,left,247.0,162.0,local,0
720575940615811670,2,22,1,ACH,right,1542.0,2527.0,local,0
720575940615894614,2,12,1,GABA,left,1225.0,1416.0,local,0
720575940616065254,10,144,1,GABA,left,246.0,302.0,local,0
720575940616100582,2,21,1,ACH,left,158.0,374.0,local,0
720575940616167730,9,217,1,GLUT,right,3344.0,1750.0,local,0
720575940616203869,2,15,1,GABA,right,137.0,166.0,local,0
720575940616217403,7,201,1,GLUT,right,1616.0,886.0,local,0
720575940616404820,2,15,1,GLUT,left,131.0,75.0,projection,75
720575940616497477,3,74,1,ACH,right,407.0,215.0,local,0
720575940616747830,3,30,1,GLUT,right,97.0,48.0,projection,48
720575940616759014,2,121,1,ACH,right,538.0,975.0,projection,975
720575940616777105,9,151,1,GABA,right,188.0,514.0,local,0
720575940616791709,13,427,1,ACH,right,2458.0,1523.0,local,0
720575940616921152,16,543,1,ACH,left,3432.0,1772.0,local,0
720575940617155558,2,18,1,ACH,left,54.0,291.0,projection,31
720575940617184001,3,16,1,SER,left,86.0,247.0,projection,37
720575940617244027,2,12,1,ACH,right,185.0,311.0,local,0
720575940617299515,3,45,1,ACH,right,1030.0,439.0,projection,15
720575940617335382,5,163,1,ACH,left,531.0,554.0,projection,554
720575940617369117,1,10,1,ACH,left,96.0,197.0,projection,120
720575940617488477,1,79,1,GLUT,right,1687.0,1123.0,local,0
720575940617663537,11,133,1,GABA,left,281.0,360.0,local,0
720575940617671285,2,96,1,ACH,left,591.0,869.0,projection,869
720575940617799253,3,19,1,ACH,left,351.0,262.0,local,0
720575940617839739,3,19,1,ACH,left,194.0,345.0,projection,306
720575940617854676,3,19,1,ACH,right,194.0,840.0,projection,840
720575940617898456,2,39,1,GABA,left,152.0,132.0,projection,132
720575940617986683,1,13,1,ACH,left,323.0,463.0,local,0
720575940618118485,3,46,1,ACH,left,374.0,756.0,projection,756
720575940618135419,10,149,1,GABA,right,231.0,317.0,local,0
720575940618529217,4,33,1,ACH,left,160.0,371.0,projection,20
720575940618691419,2,66,1,GABA,right,101.0,151.0,projection,151
720575940618859480,1,13,1,ACH,left,1211.0,934.0,local,0
720575940619011494,2,71,1,GABA,right,126.0,146.0,projection,141
720575940619034782,2,159,1,GLUT,left,729.0,447.0,projection,409
720575940619111515,6,63,1,GLUT,left,236.0,155.0,local,0
720575940619128699,1,5,1,GABA,left,447.0,709.0,local,0
720575940619473624,5,115,1,ACH,left,3204.0,1784.0,local,0
720575940619549867,2,14,1,GABA,left,1005.0,2098.0,local,0
720575940619601428,1,9,1,ACH,left,225.0,389.0,local,0
720575940619658576,1,8,1,ACH,right,321.0,1267.0,local,0
720575940619695750,2,31,1,,left,82.0,52.0,projection,44
720575940619741104,2,12,1,ACH,right,603.0,1162.0,local,0
720575940619781814,5,83,1,GABA,left,281.0,309.0,local,0
720575940619847371,3,27,1,ACH,left,269.0,275.0,local,0
720575940619900507,6,108,1,GABA,left,421.0,687.0,local,0
720575940619973712,1,5,1,GABA,left,1479.0,1699.0,local,0
