root_id,upstream_set_4_StN_SAs,set_4_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940632727756,3,47,1,ACH,left,796.0,1762.0,local,0
720575940633213792,1,5,1,GABA,left,537.0,737.0,local,0
720575940633373651,1,5,1,ACH,right,1800.0,1017.0,local,0
720575940634645600,2,85,1,ACH,left,1289.0,1941.0,local,0
720575940635184735,1,9,1,ACH,right,255.0,621.0,local,0
720575940635202155,2,13,1,ACH,right,1574.0,2137.0,local,0
720575940635239672,2,43,1,SER,right,1855.0,56.0,projection,13
720575940635297911,2,30,1,ACH,left,1430.0,1841.0,local,0
720575940635360924,3,81,1,ACH,right,1919.0,1263.0,local,0
720575940636165624,5,116,1,ACH,left,3318.0,1190.0,local,0
720575940636895406,3,46,1,SER,left,1814.0,77.0,projection,16
720575940637656286,2,36,1,ACH,right,1314.0,1181.0,local,0
720575940638360960,1,8,1,ACH,right,191.0,335.0,local,0
720575940638714694,2,27,1,ACH,left,1430.0,2921.0,local,0
720575940639786915,2,16,1,ACH,left,1124.0,828.0,local,0
720575940641655949,1,41,1,ACH,right,812.0,1172.0,local,0
720575940641776032,1,10,1,ACH,left,431.0,323.0,local,0
720575940643867296,4,119,1,GABA,left,7118.0,5624.0,local,0
720575940645527918,4,111,1,ACH,right,6765.0,27.0,local,0
