pre_root_id,post_root_id,syn_count,origin_set
720575940605698080,720575940620780272,25,set_1
720575940605698080,720575940623133223,30,set_1
720575940605698080,720575940623449382,65,set_1
720575940605698080,720575940625172016,60,set_1
720575940605698080,720575940632900503,25,set_1
720575940605698080,720575940639512192,70,set_1
720575940605698080,720575940642910152,40,set_1
720575940605703456,720575940615672130,20,set_1
720575940605703456,720575940617299515,24,set_1
720575940605703456,720575940619310757,28,set_1
720575940605703456,720575940620262465,24,set_1
720575940605703456,720575940623192781,28,set_1
720575940605703456,720575940632873261,28,set_1
720575940606867145,720575940610611246,24,set_1
720575940606867145,720575940612572131,36,set_1
720575940606867145,720575940613746087,28,set_1
720575940606867145,720575940618165787,36,set_1
720575940606867145,720575940620262465,32,set_1
720575940606867145,720575940623192781,72,set_1
720575940606867145,720575940623605180,32,set_1
720575940606867145,720575940623737525,28,set_1
720575940606867145,720575940623777065,60,set_1
720575940606867145,720575940639512192,36,set_1
720575940606867145,720575940643191575,32,set_1
720575940607472988,720575940618118485,62,set_1
720575940607472988,720575940620627035,10,set_1
720575940607472988,720575940624454221,18,set_1
720575940607472988,720575940638419534,12,set_1
720575940607472988,720575940647606148,14,set_1
720575940608239371,720575940612984981,6,set_1
720575940608239371,720575940619866059,5,set_1
720575940608239371,720575940621827419,18,set_1
720575940608239371,720575940623158709,7,set_1
720575940608239371,720575940625172016,6,set_1
720575940608239371,720575940633941293,30,set_1
720575940608475331,720575940609423299,24,set_1
720575940608475331,720575940609937476,160,set_1
720575940608475331,720575940611366058,32,set_1
720575940608475331,720575940613640685,40,set_1
720575940608475331,720575940616018956,128,set_1
720575940608475331,720575940619016059,28,set_1
720575940608475331,720575940620292116,140,set_1
720575940608475331,720575940626456081,20,set_1
720575940608475331,720575940626557186,28,set_1
720575940608475331,720575940627419962,76,set_1
720575940608475331,720575940627828296,40,set_1
720575940608475331,720575940628743752,52,set_1
720575940608475331,720575940629470838,28,set_1
720575940608475331,720575940629778554,100,set_1
720575940608475331,720575940631092943,48,set_1
720575940608475331,720575940631999080,24,set_1
720575940608475331,720575940632281927,56,set_1
720575940608475331,720575940632304711,44,set_1
720575940608475331,720575940632727756,24,set_1
720575940608475331,720575940633373651,20,set_1
720575940608475331,720575940633941293,20,set_1
720575940608475331,720575940639756093,36,set_1
720575940608475331,720575940647030580,24,set_1
720575940608475331,720575940660224641,64,set_1
720575940608713993,720575940618118485,36,set_1
720575940608713993,720575940619473624,24,set_1
720575940608713993,720575940620031366,28,set_1
720575940608713993,720575940624253991,24,set_1
720575940608713993,720575940627492866,20,set_1
720575940608713993,720575940628462927,52,set_1
720575940609922372,720575940607345586,150,set_1
720575940609922372,720575940607377586,42,set_1
720575940609922372,720575940608370645,15,set_1
720575940609922372,720575940609133269,90,set_1
720575940609922372,720575940609423299,45,set_1
720575940609922372,720575940610054980,60,set_1
720575940609922372,720575940612606105,69,set_1
720575940609922372,720575940612686233,15,set_1
720575940609922372,720575940615023535,15,set_1
720575940609922372,720575940615583650,36,set_1
720575940609922372,720575940615672130,51,set_1
720575940609922372,720575940616014092,27,set_1
720575940609922372,720575940616194610,81,set_1
720575940609922372,720575940616848214,93,set_1
720575940609922372,720575940617031385,84,set_1
720575940609922372,720575940617494877,21,set_1
720575940609922372,720575940618165787,63,set_1
720575940609922372,720575940618166811,15,set_1
720575940609922372,720575940619016059,42,set_1
720575940609922372,720575940619042427,36,set_1
720575940609922372,720575940619076731,27,set_1
720575940609922372,720575940619114048,27,set_1
720575940609922372,720575940619473624,18,set_1
720575940609922372,720575940620262465,36,set_1
720575940609922372,720575940620335269,57,set_1
720575940609922372,720575940620353300,18,set_1
720575940609922372,720575940620633947,39,set_1
720575940609922372,720575940620819659,69,set_1
720575940609922372,720575940620833901,18,set_1
720575940609922372,720575940621329328,24,set_1
720575940609922372,720575940621569728,24,set_1
720575940609922372,720575940622018309,18,set_1
720575940609922372,720575940622054753,72,set_1
720575940609922372,720575940622348156,57,set_1
720575940609922372,720575940622624214,21,set_1
720575940609922372,720575940623017989,18,set_1
720575940609922372,720575940623209165,54,set_1
720575940609922372,720575940623449382,15,set_1
720575940609922372,720575940623535044,54,set_1
720575940609922372,720575940623676394,15,set_1
720575940609922372,720575940624023188,33,set_1
720575940609922372,720575940624882407,27,set_1
720575940609922372,720575940624987175,18,set_1
720575940609922372,720575940625045180,36,set_1
720575940609922372,720575940625164176,96,set_1
720575940609922372,720575940625167886,66,set_1
720575940609922372,720575940625813140,15,set_1
720575940609922372,720575940626075517,18,set_1
720575940609922372,720575940626163658,63,set_1
720575940609922372,720575940626826288,15,set_1
720575940609922372,720575940626960536,48,set_1
720575940609922372,720575940626961241,30,set_1
720575940609922372,720575940627062088,147,set_1
720575940609922372,720575940627086594,51,set_1
720575940609922372,720575940627410451,24,set_1
720575940609922372,720575940627739023,111,set_1
720575940609922372,720575940628319899,51,set_1
720575940609922372,720575940628598121,18,set_1
720575940609922372,720575940628815381,42,set_1
720575940609922372,720575940629266988,18,set_1
720575940609922372,720575940630232380,66,set_1
720575940609922372,720575940630461404,15,set_1
720575940609922372,720575940630579574,75,set_1
720575940609922372,720575940630679801,15,set_1
720575940609922372,720575940631365340,15,set_1
720575940609922372,720575940631595603,24,set_1
720575940609922372,720575940632028216,87,set_1
720575940609922372,720575940632118156,30,set_1
720575940609922372,720575940632134227,51,set_1
720575940609922372,720575940632365905,39,set_1
720575940609922372,720575940632839763,57,set_1
720575940609922372,720575940633824864,51,set_1
720575940609922372,720575940634105439,21,set_1
720575940609922372,720575940634210155,102,set_1
720575940609922372,720575940635360924,48,set_1
720575940609922372,720575940635527092,24,set_1
720575940609922372,720575940635596212,174,set_1
720575940609922372,720575940636165624,45,set_1
720575940609922372,720575940637360730,69,set_1
720575940609922372,720575940638125887,42,set_1
720575940609922372,720575940639206077,27,set_1
720575940609922372,720575940639787683,186,set_1
720575940609922372,720575940639831459,66,set_1
720575940609922372,720575940639994456,21,set_1
720575940609922372,720575940642422517,15,set_1
720575940609922372,720575940643867296,156,set_1
720575940609922372,720575940644672548,27,set_1
720575940609922372,720575940645039383,15,set_1
720575940609922372,720575940647010356,33,set_1
720575940609922372,720575940647060532,45,set_1
720575940609922372,720575940647560500,30,set_1
720575940609922372,720575940660224641,87,set_1
720575940609922372,720575940661338497,21,set_1
720575940610079957,720575940610024056,24,set_1
720575940610079957,720575940614572542,93,set_1
720575940610079957,720575940614775592,18,set_1
720575940610079957,720575940617690658,15,set_1
720575940610079957,720575940621040737,30,set_1
720575940610079957,720575940621667693,15,set_1
720575940610079957,720575940623777065,54,set_1
720575940610079957,720575940626308697,15,set_1
720575940610079957,720575940628538368,15,set_1
720575940610079957,720575940632464146,42,set_1
720575940610079957,720575940634776511,18,set_1
720575940610079957,720575940641546715,21,set_1
720575940610079957,720575940643251748,18,set_1
720575940610524339,720575940609913042,24,set_1
720575940610524339,720575940614916725,54,set_1
720575940610524339,720575940615076162,10,set_1
720575940610524339,720575940615296818,20,set_1
720575940610524339,720575940617121819,142,set_1
720575940610524339,720575940618788944,20,set_1
720575940610524339,720575940619111515,12,set_1
