root_id,upstream_set_3_PSO_SAs,set_3_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940620353300,2,13,1,GABA,left,4013.0,3935.0,local,0
720575940620626011,6,179,1,ACH,left,465.0,325.0,local,0
720575940620627035,2,56,1,ACH,left,1023.0,1123.0,local,0
720575940620633947,1,9,1,ACH,right,762.0,776.0,local,0
720575940620673985,2,21,1,GABA,right,1507.0,2841.0,local,0
720575940620692974,2,10,1,ACH,right,345.0,377.0,local,0
720575940620735258,6,105,1,ACH,left,646.0,316.0,local,0
720575940620778223,4,44,1,ACH,right,219.0,413.0,local,0
720575940621013640,1,61,1,ACH,left,295.0,403.0,local,0
720575940621261296,1,8,1,ACH,right,3340.0,2454.0,local,0
720575940621399899,1,14,1,GABA,left,1789.0,3284.0,local,0
720575940621569728,2,52,1,GABA,left,1294.0,1160.0,local,0
720575940621755888,4,41,1,GABA,right,122.0,469.0,local,0
720575940621763312,2,18,1,GLUT,right,211.0,259.0,local,0
720575940621818790,1,7,1,GABA,left,1454.0,2526.0,local,0
720575940621894750,6,58,1,GABA,left,594.0,1434.0,local,0
720575940621928453,2,64,1,ACH,right,293.0,282.0,local,0
720575940621930710,3,32,1,GABA,left,130.0,351.0,local,0
720575940622018309,5,136,1,GLUT,right,921.0,2101.0,local,0
720575940622054753,2,20,1,ACH,right,1142.0,1546.0,local,0
720575940622124833,1,6,1,GABA,left,164.0,304.0,local,0
720575940622137633,1,5,1,SER,left,175.0,92.0,local,0
720575940622348156,11,154,1,ACH,left,1789.0,1556.0,local,0
720575940622415948,5,51,1,GABA,right,713.0,1514.0,local,0
720575940622474899,1,6,1,SER,right,1009.0,121.0,projection,59
720575940622493260,2,20,1,ACH,left,1672.0,1128.0,local,0
720575940622519156,10,86,1,ACH,right,522.0,538.0,local,0
720575940622520908,1,7,1,ACH,right,365.0,1333.0,local,0
720575940622661095,7,122,1,ACH,left,670.0,275.0,local,0
720575940622810153,1,5,1,,left,2161.0,0.0,local,0
720575940623066893,3,173,1,ACH,right,500.0,415.0,local,0
720575940623149581,3,83,1,GABA,left,1415.0,1172.0,local,0
720575940623154712,1,5,1,GABA,right,1297.0,2286.0,local,0
720575940623193549,3,23,1,ACH,left,1220.0,240.0,local,0
720575940623208141,1,7,1,GABA,right,917.0,1215.0,local,0
720575940623209165,2,11,1,ACH,right,1253.0,1104.0,local,0
720575940623261675,9,120,1,ACH,left,506.0,364.0,local,0
720575940623272328,1,7,1,GABA,right,344.0,522.0,local,0
720575940623352063,2,31,1,,left,4692.0,0.0,local,0
720575940623525258,2,109,1,GLUT,right,963.0,831.0,local,0
720575940623609895,1,65,1,ACH,left,414.0,490.0,local,0
720575940623654804,8,104,1,ACH,left,309.0,492.0,local,0
720575940623690474,1,65,1,GABA,left,436.0,804.0,local,0
720575940623861962,3,28,1,ACH,left,565.0,318.0,local,0
720575940624023188,3,23,1,ACH,left,1542.0,3339.0,local,0
720575940624289789,2,63,1,GABA,right,1324.0,1007.0,local,0
