root_id,upstream_set_2_2Ns,set_2_syn_count,const,input_synapses,pct_set_2_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940607387314,6,566,1,566,100.0,94.33333333333333,local,0
720575940607425604,1,28,1,28,100.0,28.0,projection,110
720575940607451081,1,13,1,13,100.0,13.0,local,0
720575940607471829,1,30,1,30,100.0,30.0,projection,15
720575940607500297,2,138,1,138,100.0,69.0,local,0
720575940607512533,2,62,1,62,100.0,31.0,projection,164
720575940607596811,1,6,1,6,100.0,6.0,projection,244
720575940607672003,1,6,1,6,100.0,6.0,local,0
720575940607731292,6,138,1,138,100.0,23.0,projection,94
720575940607737099,4,95,1,95,100.0,23.75,local,0
720575940607777628,1,49,1,49,100.0,49.0,projection,84
720575940607802123,2,33,1,33,100.0,16.5,projection,511
720575940607848203,1,25,1,25,100.0,25.0,projection,257
720575940607874315,2,21,1,21,100.0,10.5,projection,70
720575940607876809,1,7,1,7,100.0,7.0,projection,69
720575940607877833,1,24,1,24,100.0,24.0,local,0
720575940607891401,1,23,1,23,100.0,23.0,projection,224
720575940607896265,1,36,1,36,100.0,36.0,projection,100
720575940607990229,1,10,1,10,100.0,10.0,projection,1225
720575940608029707,2,45,1,45,100.0,22.5,projection,561
720575940608090069,1,30,1,30,100.0,30.0,projection,62
720575940608177929,4,124,1,124,100.0,31.0,projection,200
720575940608186498,1,24,1,24,100.0,24.0,projection,58
720575940608227118,1,132,1,132,100.0,132.0,projection,872
720575940608252082,6,144,1,144,100.0,24.0,projection,3135
720575940608278876,2,85,1,85,100.0,42.5,projection,96
720575940608292361,1,7,1,7,100.0,7.0,local,0
720575940608295689,2,102,1,102,100.0,51.0,local,0
720575940608296917,2,282,1,282,100.0,141.0,local,0
720575940608305161,3,150,1,150,100.0,50.0,local,0
720575940608348338,4,50,1,50,100.0,12.5,projection,45
720575940608368818,4,305,1,305,100.0,76.25,local,0
720575940608370645,4,45,1,45,100.0,11.25,local,0
720575940608400323,1,18,1,18,100.0,18.0,projection,373
720575940608451420,4,379,1,379,100.0,94.75,local,0
720575940608462684,3,263,1,263,100.0,87.66666666666667,projection,202
720575940608471900,2,193,1,193,100.0,96.5,projection,78
720575940608475331,6,843,1,843,100.0,140.5,local,0
720575940608481860,1,14,1,14,100.0,14.0,projection,26
720575940608498780,4,195,1,195,100.0,48.75,local,0
720575940608500316,2,18,1,18,100.0,9.0,local,0
720575940608537027,1,81,1,81,100.0,81.0,projection,52
720575940608557323,5,184,1,184,100.0,36.8,projection,258
720575940608606475,3,78,1,78,100.0,26.0,projection,28
720575940608616899,1,48,1,48,100.0,48.0,projection,123
720575940608664184,1,54,1,54,100.0,54.0,local,0
720575940608683477,2,20,1,20,100.0,10.0,projection,499
720575940608707192,3,527,1,527,100.0,175.66666666666666,local,0
720575940608735241,9,436,1,436,100.0,48.44444444444444,local,0
720575940608787413,2,955,1,955,100.0,477.5,projection,12
720575940608815314,1,12,1,12,100.0,12.0,projection,38
