root_id,upstream_set_4_2Ns,set_4_syn_count,const,input_synapses_x,%_set_4_input,input_synapses_y,input_synapses,pct_set_4_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940604247985,2,46,1,46,100.0,46,0,0.0,23.0,local,0
720575940604705312,1,16,1,16,100.0,16,0,0.0,16.0,local,0
720575940605161388,5,161,1,161,100.0,161,0,0.0,32.2,local,0
720575940605647234,1,11,1,11,100.0,11,0,0.0,11.0,projection,30
720575940605682790,5,408,1,408,100.0,408,0,0.0,81.6,local,0
720575940605694240,4,93,1,93,100.0,93,0,0.0,23.25,local,0
720575940605698080,7,324,1,324,100.0,324,0,0.0,46.285714285714285,local,0
720575940605703456,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940605707710,1,7,1,7,100.0,7,0,0.0,7.0,local,0
720575940605890784,11,378,1,378,100.0,378,0,0.0,34.36363636363637,local,0
720575940605971330,6,119,1,119,100.0,119,0,0.0,19.833333333333332,local,0
720575940606676572,1,8,1,8,100.0,8,0,0.0,8.0,local,0
720575940606866377,1,12,1,12,100.0,12,0,0.0,12.0,local,0
720575940606867145,3,21,1,21,100.0,21,0,0.0,7.0,projection,16
720575940607014530,1,12,1,12,100.0,12,0,0.0,12.0,local,0
720575940607071106,1,24,1,24,100.0,24,0,0.0,24.0,local,0
720575940607162754,10,503,1,503,100.0,503,0,0.0,50.3,local,0
720575940607166731,1,32,1,32,100.0,32,0,0.0,32.0,local,0
720575940607272649,1,82,1,82,100.0,82,0,0.0,82.0,local,0
720575940607345586,6,254,1,254,100.0,254,0,0.0,42.333333333333336,local,0
720575940607377586,21,1825,1,1825,100.0,1825,0,0.0,86.9047619047619,local,0
720575940607386290,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940608188427,1,13,1,13,100.0,13,0,0.0,13.0,local,0
720575940608227118,1,6,1,6,100.0,6,0,0.0,6.0,projection,872
720575940608239371,2,32,1,32,100.0,32,0,0.0,16.0,local,0
720575940608287106,1,7,1,7,100.0,7,0,0.0,7.0,projection,371
720575940608475331,8,133,1,133,100.0,133,0,0.0,16.625,local,0
720575940608498780,1,18,1,18,100.0,18,0,0.0,18.0,local,0
720575940608500316,2,13,1,13,100.0,13,0,0.0,6.5,local,0
720575940608713993,7,342,1,342,100.0,342,0,0.0,48.857142857142854,local,0
720575940608735241,3,329,1,329,100.0,329,0,0.0,109.66666666666667,local,0
720575940609133269,15,339,1,339,100.0,339,0,0.0,22.6,projection,316
720575940609376707,1,11,1,11,100.0,11,0,0.0,11.0,local,0
720575940609405635,2,25,1,25,100.0,25,0,0.0,12.5,projection,64
720575940609407939,4,152,1,152,100.0,152,0,0.0,38.0,local,0
720575940609423299,14,466,1,466,100.0,466,0,0.0,33.285714285714285,local,0
720575940609592270,3,72,1,72,100.0,72,0,0.0,24.0,local,0
720575940609787256,2,579,1,579,100.0,579,0,0.0,289.5,local,0
720575940609915204,3,65,1,65,100.0,65,0,0.0,21.666666666666668,local,0
720575940609939780,1,12,1,12,100.0,12,0,0.0,12.0,local,0
720575940609993284,8,414,1,414,100.0,414,0,0.0,51.75,local,0
720575940610000964,14,544,1,544,100.0,544,0,0.0,38.857142857142854,local,0
720575940610004437,2,124,1,124,100.0,124,0,0.0,62.0,local,0
720575940610055982,1,54,1,54,100.0,54,0,0.0,54.0,local,0
720575940610079957,1,36,1,36,100.0,36,0,0.0,36.0,projection,63
720575940610258552,2,29,1,29,100.0,29,0,0.0,14.5,local,0
720575940610482883,3,51,1,51,100.0,51,0,0.0,17.0,local,0
720575940610524339,1,39,1,39,100.0,39,0,0.0,39.0,local,0
720575940610584945,1,18,1,18,100.0,18,0,0.0,18.0,local,0
720575940610590869,4,110,1,110,100.0,110,0,0.0,27.5,local,0
720575940610604334,1,14,1,14,100.0,14,0,0.0,14.0,projection,24
720575940610677828,4,146,1,146,100.0,146,0,0.0,36.5,local,0
720575940610708430,3,79,1,79,100.0,79,0,0.0,26.333333333333332,projection,1201
720575940610803554,1,10,1,10,100.0,10,0,0.0,10.0,projection,147
720575940610986006,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940611018865,5,114,1,114,100.0,114,0,0.0,22.8,local,0
720575940611151406,3,95,1,95,100.0,95,0,0.0,31.666666666666668,local,0
720575940611160930,2,43,1,43,100.0,43,0,0.0,21.5,projection,394
720575940611164770,2,87,1,87,100.0,87,0,0.0,43.5,projection,1481
720575940611167842,8,272,1,272,100.0,272,0,0.0,34.0,local,0
720575940611366058,8,140,1,140,100.0,140,0,0.0,17.5,local,0
720575940611388595,1,54,1,54,100.0,54,0,0.0,54.0,local,0
720575940611411057,1,18,1,18,100.0,18,0,0.0,18.0,projection,303
720575940611436408,2,13,1,13,100.0,13,0,0.0,6.5,local,0
720575940611496165,2,14,1,14,100.0,14,0,0.0,7.0,projection,104
720575940611502286,4,897,1,897,100.0,897,0,0.0,224.25,local,0
720575940611531986,2,55,1,55,100.0,55,0,0.0,27.5,local,0
720575940611643033,4,123,1,123,100.0,123,0,0.0,30.75,local,0
720575940611715813,5,47,1,47,100.0,47,0,0.0,9.4,local,0
720575940611812050,1,7,1,7,100.0,7,0,0.0,7.0,projection,934
720575940611858906,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940611885461,5,243,1,243,100.0,243,0,0.0,48.6,local,0
720575940611958994,1,7,1,7,100.0,7,0,0.0,7.0,projection,49
720575940611988197,1,6,1,6,100.0,6,0,0.0,6.0,local,0
720575940612019569,4,124,1,124,100.0,124,0,0.0,31.0,local,0
720575940612208858,21,2138,1,2138,100.0,2138,0,0.0,101.80952380952381,local,0
