root_id,upstream_set_1_2Ns,set_1_syn_count,const,input_synapses,pct_set_1_input,avg_upstream_synapses
720575940611164770,2,312,1,312,100.0,156.0
720575940611167842,3,213,1,213,100.0,71.0
720575940611168921,2,24,1,24,100.0,12.0
720575940611184819,2,31,1,31,100.0,15.5
720575940611211417,11,2573,1,2573,100.0,233.9090909090909
720575940611225237,1,21,1,21,100.0,21.0
720575940611248662,2,31,1,31,100.0,15.5
720575940611298522,1,24,1,24,100.0,24.0
720575940611366058,9,321,1,321,100.0,35.666666666666664
720575940611374554,1,5,1,5,100.0,5.0
720575940611411057,1,45,1,45,100.0,45.0
720575940611456661,1,18,1,18,100.0,18.0
720575940611475698,2,40,1,40,100.0,20.0
720575940611496165,2,142,1,142,100.0,71.0
720575940611548878,7,689,1,689,100.0,98.42857142857143
720575940611549902,4,98,1,98,100.0,24.5
720575940611585459,1,10,1,10,100.0,10.0
720575940611630194,1,10,1,10,100.0,10.0
720575940611643033,2,46,1,46,100.0,23.0
720575940611678181,1,7,1,7,100.0,7.0
720575940611682533,1,6,1,6,100.0,6.0
720575940611715813,4,98,1,98,100.0,24.5
720575940611717357,1,14,1,14,100.0,14.0
720575940611756723,4,131,1,131,100.0,32.75
720575940611772083,1,14,1,14,100.0,14.0
720575940611782874,1,20,1,20,100.0,20.0
720575940611812050,7,331,1,331,100.0,47.285714285714285
720575940611817779,1,15,1,15,100.0,15.0
720575940611843754,1,5,1,5,100.0,5.0
720575940611846520,1,6,1,6,100.0,6.0
720575940611849178,4,345,1,345,100.0,86.25
720575940611858906,1,10,1,10,100.0,10.0
720575940611952810,1,36,1,36,100.0,36.0
720575940611958994,1,5,1,5,100.0,5.0
720575940611988197,5,316,1,316,100.0,63.2
720575940611991830,2,92,1,92,100.0,46.0
720575940612019569,4,175,1,175,100.0,43.75
720575940612030899,1,10,1,10,100.0,10.0
720575940612079845,1,5,1,5,100.0,5.0
720575940612208858,4,293,1,293,100.0,73.25
720575940612235747,3,84,1,84,100.0,28.0
720575940612256938,1,44,1,44,100.0,44.0
720575940612261603,4,74,1,74,100.0,18.5
720575940612277090,4,78,1,78,100.0,19.5
720575940612289010,6,147,1,147,100.0,24.5
720575940612303102,2,51,1,51,100.0,25.5
720575940612308776,1,5,1,5,100.0,5.0
720575940612319155,1,20,1,20,100.0,20.0
720575940612354034,3,273,1,273,100.0,91.0
720575940612357618,1,75,1,75,100.0,75.0
720575940612438514,1,17,1,17,100.0,17.0
720575940612470755,6,151,1,151,100.0,25.166666666666668
720575940612490958,1,51,1,51,100.0,51.0
720575940612531370,1,87,1,87,100.0,87.0
720575940612554393,2,35,1,35,100.0,17.5
720575940612556402,1,92,1,92,100.0,92.0
720575940612572131,4,93,1,93,100.0,23.25
720575940612582514,1,13,1,13,100.0,13.0
720575940612599193,1,27,1,27,100.0,27.0
720575940612606105,6,341,1,341,100.0,56.833333333333336
720575940612628195,1,18,1,18,100.0,18.0
720575940612686233,5,352,1,352,100.0,70.4
720575940612692633,11,1398,1,1398,100.0,127.0909090909091
720575940612692889,3,119,1,119,100.0,39.666666666666664
720575940612738197,1,6,1,6,100.0,6.0
720575940612772915,2,57,1,57,100.0,28.5
720575940612910503,1,36,1,36,100.0,36.0
