pre_root_id,post_root_id,syn_count,origin_set
720575940603579616,720575940604418993,5,set_2
720575940603579616,720575940607225609,5,set_2
720575940603579616,720575940607874315,5,set_2
720575940603579616,720575940613944994,12,set_2
720575940603579616,720575940617624866,5,set_2
720575940603579616,720575940620047414,6,set_2
720575940603579616,720575940620957423,10,set_2
720575940603579616,720575940621616381,6,set_2
720575940603579616,720575940622629011,5,set_2
720575940603579616,720575940624820112,11,set_2
720575940603579616,720575940626507027,7,set_2
720575940603579616,720575940626750089,13,set_2
720575940603579616,720575940627341156,5,set_2
720575940603579616,720575940628248326,5,set_2
720575940603579616,720575940628262249,6,set_2
720575940603579616,720575940629422183,13,set_2
720575940603579616,720575940629951852,6,set_2
720575940603579616,720575940630666234,6,set_2
720575940603579616,720575940632595937,15,set_2
720575940603579616,720575940635452570,11,set_2
720575940603579616,720575940637002462,6,set_2
720575940603579616,720575940639778904,12,set_2
720575940603579616,720575940653093025,5,set_2
720575940604030566,720575940611549902,18,set_2
720575940604030566,720575940616298171,24,set_2
720575940604030566,720575940623242900,18,set_2
720575940604030566,720575940623381286,15,set_2
720575940604030566,720575940626960536,18,set_2
720575940604030566,720575940627107721,18,set_2
720575940604030566,720575940628391686,15,set_2
720575940604030566,720575940630461660,15,set_2
720575940604030566,720575940632670156,15,set_2
720575940604150560,720575940604470956,6,set_2
720575940604150560,720575940606004866,49,set_2
720575940604150560,720575940610604334,45,set_2
720575940604150560,720575940611164770,7,set_2
720575940604150560,720575940612339123,5,set_2
720575940604150560,720575940613480159,9,set_2
720575940604150560,720575940615044502,17,set_2
720575940604150560,720575940615134557,42,set_2
720575940604150560,720575940615950109,5,set_2
720575940604150560,720575940617398745,14,set_2
720575940604150560,720575940617539355,16,set_2
720575940604150560,720575940620441024,54,set_2
720575940604150560,720575940621252468,14,set_2
720575940604150560,720575940622335197,45,set_2
720575940604150560,720575940622541005,29,set_2
720575940604150560,720575940623192871,9,set_2
720575940604150560,720575940623242900,13,set_2
720575940604150560,720575940624813437,35,set_2
720575940604150560,720575940625408333,79,set_2
720575940604150560,720575940627404858,9,set_2
720575940604150560,720575940628784066,8,set_2
720575940604150560,720575940630300434,8,set_2
720575940604150560,720575940631314908,12,set_2
720575940604150560,720575940631995167,8,set_2
720575940604150560,720575940632658131,6,set_2
720575940604150560,720575940638237662,6,set_2
720575940604150560,720575940644464919,29,set_2
720575940604150560,720575940644993844,8,set_2
