root_id,upstream_set_6_StN_SAs,set_6_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940604247985,1,6,1,,right,73.0,124.0,local,0
720575940604782624,4,42,1,,right,276.0,0.0,local,0
720575940606388146,5,42,1,GLUT,left,1331.0,3317.0,local,0
720575940606867145,1,5,1,ACH,right,248.0,199.0,projection,16
720575940609221700,2,12,1,,left,41.0,214.0,local,0
720575940610594766,2,14,1,GLUT,left,97.0,197.0,local,0
720575940610611246,6,55,1,GLUT,right,1195.0,3639.0,local,0
720575940610897906,3,19,1,,left,172.0,0.0,local,0
720575940611548878,3,17,1,,left,2303.0,2409.0,local,0
720575940612289010,1,5,1,SER,left,983.0,100.0,projection,39
720575940612606105,4,29,1,GABA,left,1353.0,1701.0,local,0
720575940612686233,2,13,1,GABA,right,1216.0,1237.0,local,0
720575940612952557,9,67,1,GLUT,right,808.0,573.0,local,0
720575940613356851,1,10,1,GABA,left,135.0,148.0,local,0
720575940613533607,1,8,1,,right,112.0,279.0,local,0
720575940613747734,8,83,1,ACH,right,695.0,527.0,local,0
720575940613828202,2,12,1,ACH,right,291.0,129.0,local,0
720575940614965691,6,184,1,,left,589.0,504.0,local,0
720575940619453831,5,156,1,,left,538.0,575.0,local,0
720575940619549867,1,5,1,GABA,left,1005.0,2098.0,local,0
720575940620008112,6,48,1,,left,591.0,0.0,local,0
720575940620506996,7,77,1,ACH,left,906.0,1221.0,local,0
720575940620553654,1,5,1,,right,304.0,0.0,local,0
720575940620692974,2,15,1,ACH,right,345.0,377.0,local,0
720575940620866544,1,16,1,GABA,left,162.0,233.0,local,0
720575940621126384,6,42,1,,right,498.0,0.0,local,0
720575940621169690,5,57,1,,right,430.0,0.0,local,0
720575940621569728,2,12,1,GABA,left,1294.0,1160.0,local,0
720575940622137633,5,53,1,SER,left,175.0,92.0,local,0
720575940622348156,6,58,1,ACH,left,1789.0,1556.0,local,0
720575940622474899,3,17,1,SER,right,1009.0,121.0,projection,59
720575940623449382,1,5,1,GLUT,right,1131.0,902.0,local,0
720575940623988733,6,153,1,SER,right,464.0,555.0,local,0
720575940624222205,5,40,1,ACH,left,386.0,211.0,local,0
720575940624528068,5,125,1,,right,379.0,436.0,local,0
720575940624882407,8,71,1,GABA,right,1438.0,1633.0,local,0
720575940625172016,1,7,1,ACH,right,2536.0,1248.0,local,0
720575940625471896,1,7,1,,left,102.0,0.0,local,0
720575940625799513,5,36,1,,left,452.0,0.0,local,0
720575940626598994,1,6,1,GLUT,right,42.0,212.0,local,0
720575940626668218,3,20,1,GLUT,left,1494.0,1056.0,local,0
720575940626999464,8,57,1,GLUT,left,864.0,554.0,local,0
720575940627275795,1,6,1,,left,792.0,1776.0,local,0
720575940628096586,4,28,1,SER,right,143.0,93.0,local,0
720575940628149763,1,7,1,,left,154.0,274.0,local,0
720575940628287546,1,15,1,,right,124.0,174.0,local,0
720575940628781333,6,66,1,,right,561.0,0.0,local,0
720575940629470838,4,34,1,GLUT,left,1117.0,798.0,local,0
720575940629987587,5,44,1,ACH,left,345.0,176.0,local,0
720575940630034231,6,51,1,GLUT,right,853.0,681.0,local,0
720575940630182972,4,39,1,GLUT,right,1114.0,601.0,local,0
720575940630301836,2,10,1,,left,20.0,180.0,local,0
720575940630470391,10,59,1,ACH,left,747.0,719.0,local,0
720575940630683385,3,16,1,GABA,right,2141.0,2244.0,local,0
720575940631365340,3,15,1,GABA,right,1217.0,1207.0,local,0
720575940632602532,1,5,1,ACH,left,1942.0,2341.0,local,0
720575940634755041,1,7,1,,left,128.0,0.0,local,0
720575940635239672,8,61,1,SER,right,1855.0,56.0,projection,13
720575940635501560,6,96,1,,left,402.0,0.0,local,0
720575940635696279,6,59,1,GLUT,left,777.0,533.0,local,0
720575940636895406,8,55,1,SER,left,1814.0,77.0,projection,16
720575940637391423,3,17,1,GLUT,right,40.0,158.0,local,0
720575940639339829,6,48,1,ACH,right,1507.0,1362.0,local,0
720575940640681680,3,26,1,,left,405.0,0.0,local,0
720575940641265549,7,61,1,,right,345.0,0.0,local,0
720575940644464544,5,41,1,ACH,right,806.0,706.0,local,0
720575940645524003,5,46,1,,right,304.0,0.0,local,0
