root_id,upstream_set_6_2Ns,set_6_syn_count,const,input_synapses_x,%_set_6_input,input_synapses_y,input_synapses,pct_set_6_input,avg_upstream_synapses
720575940613944994,1,48,1,48,100.0,48,0,0.0,48.0
720575940614099818,1,7,1,7,100.0,7,0,0.0,7.0
720575940614128691,1,35,1,35,100.0,35,0,0.0,35.0
720575940614635175,2,110,1,110,100.0,110,0,0.0,55.0
720575940614660519,2,28,1,28,100.0,28,0,0.0,14.0
720575940614714514,7,896,1,896,100.0,896,0,0.0,128.0
720575940614734754,1,10,1,10,100.0,10,0,0.0,10.0
720575940614736290,3,544,1,544,100.0,544,0,0.0,181.33333333333334
720575940614753653,1,48,1,48,100.0,48,0,0.0,48.0
720575940614950194,3,63,1,63,100.0,63,0,0.0,21.0
720575940614954536,4,157,1,157,100.0,157,0,0.0,39.25
720575940614998166,3,124,1,124,100.0,124,0,0.0,41.333333333333336
720575940615063592,1,32,1,32,100.0,32,0,0.0,32.0
720575940615071391,3,35,1,35,100.0,35,0,0.0,11.666666666666666
720575940615076162,1,32,1,32,100.0,32,0,0.0,32.0
720575940615197747,10,3016,1,3016,100.0,3016,0,0.0,301.6
720575940615244595,1,8,1,8,100.0,8,0,0.0,8.0
720575940615245107,1,18,1,18,100.0,18,0,0.0,18.0
720575940615292895,2,130,1,130,100.0,130,0,0.0,65.0
720575940615330265,1,6,1,6,100.0,6,0,0.0,6.0
720575940615410911,2,159,1,159,100.0,159,0,0.0,79.5
720575940615480370,2,250,1,250,100.0,250,0,0.0,125.0
720575940615495839,4,426,1,426,100.0,426,0,0.0,106.5
720575940615742353,1,5,1,5,100.0,5,0,0.0,5.0
720575940615824011,2,23,1,23,100.0,23,0,0.0,11.5
720575940615879995,1,43,1,43,100.0,43,0,0.0,43.0
720575940615894614,8,888,1,888,100.0,888,0,0.0,111.0
720575940616014092,5,541,1,541,100.0,541,0,0.0,108.2
720575940616018956,4,116,1,116,100.0,116,0,0.0,29.0
720575940616028475,4,324,1,324,100.0,324,0,0.0,81.0
720575940616065254,4,162,1,162,100.0,162,0,0.0,40.5
720575940616067890,1,33,1,33,100.0,33,0,0.0,33.0
720575940616071483,5,467,1,467,100.0,467,0,0.0,93.4
720575940616071563,1,40,1,40,100.0,40,0,0.0,40.0
720575940616100582,1,17,1,17,100.0,17,0,0.0,17.0
720575940616153371,1,8,1,8,100.0,8,0,0.0,8.0
720575940616162866,3,222,1,222,100.0,222,0,0.0,74.0
720575940616164658,2,27,1,27,100.0,27,0,0.0,13.5
720575940616194610,1,14,1,14,100.0,14,0,0.0,14.0
720575940616200790,1,9,1,9,100.0,9,0,0.0,9.0
720575940616203869,3,204,1,204,100.0,204,0,0.0,68.0
720575940616217403,2,46,1,46,100.0,46,0,0.0,23.0
720575940616497477,2,71,1,71,100.0,71,0,0.0,35.5
720575940616618053,3,197,1,197,100.0,197,0,0.0,65.66666666666667
720575940616667186,1,21,1,21,100.0,21,0,0.0,21.0
720575940616777105,1,13,1,13,100.0,13,0,0.0,13.0
720575940616791067,1,41,1,41,100.0,41,0,0.0,41.0
720575940616791709,9,377,1,377,100.0,377,0,0.0,41.888888888888886
720575940616848214,2,21,1,21,100.0,21,0,0.0,10.5
720575940616864086,1,9,1,9,100.0,9,0,0.0,9.0
720575940616864217,1,24,1,24,100.0,24,0,0.0,24.0
720575940616921152,9,376,1,376,100.0,376,0,0.0,41.77777777777778
720575940617031385,2,83,1,83,100.0,83,0,0.0,41.5
720575940617138466,2,60,1,60,100.0,60,0,0.0,30.0
720575940617151266,5,102,1,102,100.0,102,0,0.0,20.4
720575940617241629,1,30,1,30,100.0,30,0,0.0,30.0
720575940617244027,1,5,1,5,100.0,5,0,0.0,5.0
720575940617298747,2,57,1,57,100.0,57,0,0.0,28.5
720575940617299515,2,106,1,106,100.0,106,0,0.0,53.0
720575940617393625,4,174,1,174,100.0,174,0,0.0,43.5
720575940617488477,1,54,1,54,100.0,54,0,0.0,54.0
720575940617493597,2,63,1,63,100.0,63,0,0.0,31.5
720575940617494877,5,201,1,201,100.0,201,0,0.0,40.2
720575940617629841,1,7,1,7,100.0,7,0,0.0,7.0
720575940617636213,4,277,1,277,100.0,277,0,0.0,69.25
720575940617663537,3,114,1,114,100.0,114,0,0.0,38.0
720575940617678566,8,1278,1,1278,100.0,1278,0,0.0,159.75
720575940617787963,9,1438,1,1438,100.0,1438,0,0.0,159.77777777777777
720575940617917579,3,168,1,168,100.0,168,0,0.0,56.0
720575940617986683,1,9,1,9,100.0,9,0,0.0,9.0
720575940618135419,2,96,1,96,100.0,96,0,0.0,48.0
720575940618156315,1,6,1,6,100.0,6,0,0.0,6.0
720575940618165019,10,823,1,823,100.0,823,0,0.0,82.3
720575940618165787,10,1068,1,1068,100.0,1068,0,0.0,106.8
720575940618166811,5,273,1,273,100.0,273,0,0.0,54.6
720575940618195254,1,30,1,30,100.0,30,0,0.0,30.0
720575940618216862,1,64,1,64,100.0,64,0,0.0,64.0
720575940618238523,1,44,1,44,100.0,44,0,0.0,44.0
720575940618385718,1,5,1,5,100.0,5,0,0.0,5.0
720575940618472261,10,595,1,595,100.0,595,0,0.0,59.5
720575940618529217,1,6,1,6,100.0,6,0,0.0,6.0
720575940618539810,9,4053,1,4053,100.0,4053,0,0.0,450.3333333333333
720575940618788944,1,30,1,30,100.0,30,0,0.0,30.0
720575940618859480,2,29,1,29,100.0,29,0,0.0,14.5
720575940618936710,1,36,1,36,100.0,36,0,0.0,36.0
720575940618963732,1,30,1,30,100.0,30,0,0.0,30.0
720575940619016059,4,267,1,267,100.0,267,0,0.0,66.75
720575940619042427,2,498,1,498,100.0,498,0,0.0,249.0
720575940619076731,2,64,1,64,100.0,64,0,0.0,32.0
720575940619111515,1,40,1,40,100.0,40,0,0.0,40.0
720575940619114048,2,22,1,22,100.0,22,0,0.0,11.0
720575940619128699,1,250,1,250,100.0,250,0,0.0,250.0
720575940619176094,2,45,1,45,100.0,45,0,0.0,22.5
720575940619414321,1,5,1,5,100.0,5,0,0.0,5.0
720575940619473624,6,336,1,336,100.0,336,0,0.0,56.0
720575940619601428,1,29,1,29,100.0,29,0,0.0,29.0
720575940619624795,2,65,1,65,100.0,65,0,0.0,32.5
720575940619658576,3,39,1,39,100.0,39,0,0.0,13.0
720575940619741104,2,13,1,13,100.0,13,0,0.0,6.5
720575940619771375,1,5,1,5,100.0,5,0,0.0,5.0
720575940619781814,3,182,1,182,100.0,182,0,0.0,60.666666666666664
720575940619866059,1,24,1,24,100.0,24,0,0.0,24.0
720575940619877396,1,5,1,5,100.0,5,0,0.0,5.0
720575940619900507,2,251,1,251,100.0,251,0,0.0,125.5
720575940619973712,1,13,1,13,100.0,13,0,0.0,13.0
720575940620025620,3,277,1,277,100.0,277,0,0.0,92.33333333333333
720575940620026864,1,78,1,78,100.0,78,0,0.0,78.0
720575940620031366,1,45,1,45,100.0,45,0,0.0,45.0
720575940620096171,4,205,1,205,100.0,205,0,0.0,51.25
720575940620129182,2,47,1,47,100.0,47,0,0.0,23.5
720575940620170887,4,115,1,115,100.0,115,0,0.0,28.75
720575940620177543,1,18,1,18,100.0,18,0,0.0,18.0
720575940620182151,3,128,1,128,100.0,128,0,0.0,42.666666666666664
720575940620203764,1,6,1,6,100.0,6,0,0.0,6.0
720575940620217582,3,130,1,130,100.0,130,0,0.0,43.333333333333336
720575940620262465,3,44,1,44,100.0,44,0,0.0,14.666666666666666
720575940620274085,2,27,1,27,100.0,27,0,0.0,13.5
720575940620292116,2,32,1,32,100.0,32,0,0.0,16.0
720575940620335269,5,113,1,113,100.0,113,0,0.0,22.6
720575940620353300,1,32,1,32,100.0,32,0,0.0,32.0
720575940620359956,1,10,1,10,100.0,10,0,0.0,10.0
720575940620411169,3,153,1,153,100.0,153,0,0.0,51.0
720575940620451866,1,44,1,44,100.0,44,0,0.0,44.0
720575940620528990,1,7,1,7,100.0,7,0,0.0,7.0
720575940620553094,2,90,1,90,100.0,90,0,0.0,45.0
720575940620575579,1,57,1,57,100.0,57,0,0.0,57.0
720575940620626011,1,8,1,8,100.0,8,0,0.0,8.0
720575940620627035,2,266,1,266,100.0,266,0,0.0,133.0
720575940620672432,3,122,1,122,100.0,122,0,0.0,40.666666666666664
720575940620699162,1,61,1,61,100.0,61,0,0.0,61.0
720575940620735258,2,90,1,90,100.0,90,0,0.0,45.0
720575940620741102,4,902,1,902,100.0,902,0,0.0,225.5
720575940620778223,1,48,1,48,100.0,48,0,0.0,48.0
720575940620780272,6,214,1,214,100.0,214,0,0.0,35.666666666666664
720575940620819659,1,42,1,42,100.0,42,0,0.0,42.0
720575940620833901,6,483,1,483,100.0,483,0,0.0,80.5
720575940620885342,1,6,1,6,100.0,6,0,0.0,6.0
720575940620983637,5,698,1,698,100.0,698,0,0.0,139.6
720575940621013640,2,80,1,80,100.0,80,0,0.0,40.0
720575940621047632,5,995,1,995,100.0,995,0,0.0,199.0
720575940621116073,2,234,1,234,100.0,234,0,0.0,117.0
720575940621128583,1,18,1,18,100.0,18,0,0.0,18.0
720575940621256384,1,11,1,11,100.0,11,0,0.0,11.0
720575940621261296,1,16,1,16,100.0,16,0,0.0,16.0
720575940621282486,1,48,1,48,100.0,48,0,0.0,48.0
720575940621325150,1,15,1,15,100.0,15,0,0.0,15.0
720575940621329328,5,255,1,255,100.0,255,0,0.0,51.0
720575940621332092,1,8,1,8,100.0,8,0,0.0,8.0
720575940621345012,1,48,1,48,100.0,48,0,0.0,48.0
720575940621373278,1,36,1,36,100.0,36,0,0.0,36.0
720575940621490721,5,1231,1,1231,100.0,1231,0,0.0,246.2
720575940621586854,1,20,1,20,100.0,20,0,0.0,20.0
720575940621599741,1,30,1,30,100.0,30,0,0.0,30.0
720575940621633683,2,54,1,54,100.0,54,0,0.0,27.0
720575940621667693,4,414,1,414,100.0,414,0,0.0,103.5
720575940621763312,1,30,1,30,100.0,30,0,0.0,30.0
720575940621771041,3,90,1,90,100.0,90,0,0.0,30.0
720575940621818790,1,15,1,15,100.0,15,0,0.0,15.0
720575940621827419,5,407,1,407,100.0,407,0,0.0,81.4
720575940621833281,5,788,1,788,100.0,788,0,0.0,157.6
720575940621894750,3,394,1,394,100.0,394,0,0.0,131.33333333333334
720575940621910399,1,6,1,6,100.0,6,0,0.0,6.0
720575940621928453,1,40,1,40,100.0,40,0,0.0,40.0
720575940621930710,2,30,1,30,100.0,30,0,0.0,15.0
720575940622018309,2,85,1,85,100.0,85,0,0.0,42.5
720575940622026245,7,1603,1,1603,100.0,1603,0,0.0,229.0
720575940622054753,4,132,1,132,100.0,132,0,0.0,33.0
720575940622074206,2,122,1,122,100.0,122,0,0.0,61.0
720575940622123144,1,235,1,235,100.0,235,0,0.0,235.0
720575940622124833,3,105,1,105,100.0,105,0,0.0,35.0
720575940622144648,7,1193,1,1193,100.0,1193,0,0.0,170.42857142857142
720575940622154266,1,10,1,10,100.0,10,0,0.0,10.0
720575940622195625,3,222,1,222,100.0,222,0,0.0,74.0
720575940622284947,2,85,1,85,100.0,85,0,0.0,42.5
720575940622319715,1,7,1,7,100.0,7,0,0.0,7.0
720575940622406694,1,6,1,6,100.0,6,0,0.0,6.0
720575940622415948,5,477,1,477,100.0,477,0,0.0,95.4
720575940622433799,2,25,1,25,100.0,25,0,0.0,12.5
720575940622452715,1,75,1,75,100.0,75,0,0.0,75.0
720575940622493260,6,230,1,230,100.0,230,0,0.0,38.333333333333336
720575940622515895,7,533,1,533,100.0,533,0,0.0,76.14285714285714
720575940622519156,1,15,1,15,100.0,15,0,0.0,15.0
720575940622520908,2,29,1,29,100.0,29,0,0.0,14.5
720575940622657268,4,279,1,279,100.0,279,0,0.0,69.75
720575940622661095,1,15,1,15,100.0,15,0,0.0,15.0
720575940622810153,7,747,1,747,100.0,747,0,0.0,106.71428571428571
720575940622834411,2,11,1,11,100.0,11,0,0.0,5.5
720575940622835947,1,30,1,30,100.0,30,0,0.0,30.0
720575940622933765,1,14,1,14,100.0,14,0,0.0,14.0
720575940623004552,2,58,1,58,100.0,58,0,0.0,29.0
720575940623011845,1,5,1,5,100.0,5,0,0.0,5.0
720575940623017989,3,56,1,56,100.0,56,0,0.0,18.666666666666668
720575940623029395,2,62,1,62,100.0,62,0,0.0,31.0
720575940623039838,2,18,1,18,100.0,18,0,0.0,9.0
720575940623040094,3,75,1,75,100.0,75,0,0.0,25.0
720575940623044103,1,48,1,48,100.0,48,0,0.0,48.0
720575940623056422,6,430,1,430,100.0,430,0,0.0,71.66666666666667
720575940623066893,1,30,1,30,100.0,30,0,0.0,30.0
720575940623078071,2,121,1,121,100.0,121,0,0.0,60.5
720575940623097853,1,5,1,5,100.0,5,0,0.0,5.0
720575940623132621,1,21,1,21,100.0,21,0,0.0,21.0
720575940623133223,1,20,1,20,100.0,20,0,0.0,20.0
720575940623137818,2,60,1,60,100.0,60,0,0.0,30.0
720575940623148285,4,151,1,151,100.0,151,0,0.0,37.75
720575940623149581,3,347,1,347,100.0,347,0,0.0,115.66666666666667
720575940623154712,1,10,1,10,100.0,10,0,0.0,10.0
720575940623158709,1,406,1,406,100.0,406,0,0.0,406.0
720575940623164685,1,192,1,192,100.0,192,0,0.0,192.0
720575940623164941,2,37,1,37,100.0,37,0,0.0,18.5
720575940623192781,3,74,1,74,100.0,74,0,0.0,24.666666666666668
720575940623209165,6,331,1,331,100.0,331,0,0.0,55.166666666666664
720575940623210445,2,107,1,107,100.0,107,0,0.0,53.5
720575940623211725,1,33,1,33,100.0,33,0,0.0,33.0
720575940623224555,1,8,1,8,100.0,8,0,0.0,8.0
720575940623261675,2,81,1,81,100.0,81,0,0.0,40.5
720575940623272328,1,84,1,84,100.0,84,0,0.0,84.0
720575940623314312,2,20,1,20,100.0,20,0,0.0,10.0
720575940623352063,1,10,1,10,100.0,10,0,0.0,10.0
720575940623366102,1,24,1,24,100.0,24,0,0.0,24.0
720575940623379750,2,34,1,34,100.0,34,0,0.0,17.0
720575940623458633,1,5,1,5,100.0,5,0,0.0,5.0
720575940623525258,1,5,1,5,100.0,5,0,0.0,5.0
720575940623535044,11,1149,1,1149,100.0,1149,0,0.0,104.45454545454545
720575940623600619,2,132,1,132,100.0,132,0,0.0,66.0
720575940623605180,1,8,1,8,100.0,8,0,0.0,8.0
720575940623609895,1,5,1,5,100.0,5,0,0.0,5.0
720575940623620586,2,116,1,116,100.0,116,0,0.0,58.0
720575940623654804,2,91,1,91,100.0,91,0,0.0,45.5
720575940623690474,1,140,1,140,100.0,140,0,0.0,140.0
720575940623737525,2,43,1,43,100.0,43,0,0.0,21.5
720575940623777065,1,15,1,15,100.0,15,0,0.0,15.0
720575940623847181,2,42,1,42,100.0,42,0,0.0,21.0
720575940623861962,2,67,1,67,100.0,67,0,0.0,33.5
720575940623918121,2,125,1,125,100.0,125,0,0.0,62.5
720575940624016227,2,299,1,299,100.0,299,0,0.0,149.5
720575940624023188,2,32,1,32,100.0,32,0,0.0,16.0
720575940624176312,1,152,1,152,100.0,152,0,0.0,152.0
720575940624266128,5,146,1,146,100.0,146,0,0.0,29.2
720575940624289789,7,512,1,512,100.0,512,0,0.0,73.14285714285714
720575940624352970,3,95,1,95,100.0,95,0,0.0,31.666666666666668
720575940624466440,1,48,1,48,100.0,48,0,0.0,48.0
720575940624530372,1,11,1,11,100.0,11,0,0.0,11.0
720575940624532408,4,293,1,293,100.0,293,0,0.0,73.25
720575940624554170,1,66,1,66,100.0,66,0,0.0,66.0
720575940624600840,3,52,1,52,100.0,52,0,0.0,17.333333333333332
720575940624608442,1,35,1,35,100.0,35,0,0.0,35.0
720575940624623287,1,27,1,27,100.0,27,0,0.0,27.0
720575940624659789,2,93,1,93,100.0,93,0,0.0,46.5
720575940624865584,1,25,1,25,100.0,25,0,0.0,25.0
720575940624906483,4,55,1,55,100.0,55,0,0.0,13.75
720575940624913959,4,182,1,182,100.0,182,0,0.0,45.5
720575940624928284,4,406,1,406,100.0,406,0,0.0,101.5
720575940624986300,1,90,1,90,100.0,90,0,0.0,90.0
720575940624987175,2,43,1,43,100.0,43,0,0.0,21.5
720575940624987394,1,7,1,7,100.0,7,0,0.0,7.0
720575940624994568,1,20,1,20,100.0,20,0,0.0,20.0
720575940625002936,4,117,1,117,100.0,117,0,0.0,29.25
720575940625004034,1,25,1,25,100.0,25,0,0.0,25.0
720575940625020935,2,160,1,160,100.0,160,0,0.0,80.0
720575940625045180,15,1258,1,1258,100.0,1258,0,0.0,83.86666666666666
720575940625047479,2,72,1,72,100.0,72,0,0.0,36.0
720575940625081290,2,98,1,98,100.0,98,0,0.0,49.0
720575940625137497,1,5,1,5,100.0,5,0,0.0,5.0
720575940625164176,2,102,1,102,100.0,102,0,0.0,51.0
720575940625167886,3,146,1,146,100.0,146,0,0.0,48.666666666666664
720575940625173006,1,15,1,15,100.0,15,0,0.0,15.0
720575940625175054,1,5,1,5,100.0,5,0,0.0,5.0
720575940625178768,1,20,1,20,100.0,20,0,0.0,20.0
720575940625339981,5,569,1,569,100.0,569,0,0.0,113.8
720575940625376442,2,162,1,162,100.0,162,0,0.0,81.0
720575940625408796,2,63,1,63,100.0,63,0,0.0,31.5
720575940625449554,2,171,1,171,100.0,171,0,0.0,85.5
720575940625454108,3,286,1,286,100.0,286,0,0.0,95.33333333333333
720575940625507870,1,7,1,7,100.0,7,0,0.0,7.0
720575940625737776,2,26,1,26,100.0,26,0,0.0,13.0
720575940625740346,1,48,1,48,100.0,48,0,0.0,48.0
720575940625807152,9,830,1,830,100.0,830,0,0.0,92.22222222222223
720575940625813140,5,321,1,321,100.0,321,0,0.0,64.2
720575940625841241,2,65,1,65,100.0,65,0,0.0,32.5
720575940625873560,1,24,1,24,100.0,24,0,0.0,24.0
720575940625874992,10,879,1,879,100.0,879,0,0.0,87.9
720575940625875504,4,147,1,147,100.0,147,0,0.0,36.75
720575940625941022,2,155,1,155,100.0,155,0,0.0,77.5
720575940626075517,1,80,1,80,100.0,80,0,0.0,80.0
720575940626127432,1,30,1,30,100.0,30,0,0.0,30.0
720575940626163658,3,298,1,298,100.0,298,0,0.0,99.33333333333333
720575940626185353,1,24,1,24,100.0,24,0,0.0,24.0
720575940626191306,2,23,1,23,100.0,23,0,0.0,11.5
720575940626197593,6,301,1,301,100.0,301,0,0.0,50.166666666666664
