pre_root_id,post_root_id,syn_count
720575940609787256,720575940605161388,5
720575940609787256,720575940606388146,46
720575940609787256,720575940607377586,29
720575940609787256,720575940607472988,53
720575940609787256,720575940609922372,39
720575940609787256,720575940609937476,75
720575940609787256,720575940610054980,10
720575940609787256,720575940610606126,27
720575940609787256,720575940610611246,16
720575940609787256,720575940611548878,139
720575940609787256,720575940613640685,10
720575940609787256,720575940615063592,111
720575940609787256,720575940615410911,11
720575940609787256,720575940616014092,16
720575940609787256,720575940616169010,40
720575940609787256,720575940617678566,15
720575940609787256,720575940617787963,9
720575940609787256,720575940619016059,7
720575940609787256,720575940620335269,11
720575940609787256,720575940620626011,82
720575940609787256,720575940622415948,8
720575940609787256,720575940622519156,6
720575940609787256,720575940623066893,79
720575940609787256,720575940623209165,5
720575940609787256,720575940623261675,46
720575940609787256,720575940625807152,6
720575940609787256,720575940625875504,39
720575940609787256,720575940626507346,33
720575940609787256,720575940626705497,94
720575940609787256,720575940627040549,67
720575940609787256,720575940627206074,12
720575940609787256,720575940627210502,54
720575940609787256,720575940628973827,28
720575940609787256,720575940629024591,5
720575940609787256,720575940629111490,132
720575940609787256,720575940629804158,18
720575940609787256,720575940630683385,90
720575940609787256,720575940630806267,72
720575940609787256,720575940631299090,48
720575940609787256,720575940631999080,52
720575940609787256,720575940632304711,30
720575940609787256,720575940632727756,9
720575940609787256,720575940635297911,125
720575940609787256,720575940635625367,44
720575940609787256,720575940639972816,18
720575940609787256,720575940640224640,27
720575940609787256,720575940643867296,169
720575940609787256,720575940647030580,12
720575940609787256,720575940647036980,22
720575940609787256,720575940659479937,10
720575940610103906,720575940608475331,7
720575940610103906,720575940610606126,15
720575940610103906,720575940617476379,10
720575940610103906,720575940619549867,16
720575940610103906,720575940626243428,6
720575940610103906,720575940627210502,5
720575940610103906,720575940628668009,5
720575940610103906,720575940632118156,6
720575940610103906,720575940634645600,5
720575940610103906,720575940635297911,20
720575940610103906,720575940635360924,7
720575940610103906,720575940636165624,19
720575940610103906,720575940639339829,19
720575940611056482,720575940605694240,9
720575940611056482,720575940610606126,5
720575940611056482,720575940612606105,11
720575940611056482,720575940613563117,30
720575940611056482,720575940614954536,35
720575940611056482,720575940617476379,9
720575940611056482,720575940620778223,5
720575940611056482,720575940621894750,7
720575940611056482,720575940622348156,10
720575940611056482,720575940622519156,8
720575940611056482,720575940624882407,20
720575940611056482,720575940625813140,10
720575940611056482,720575940626185353,13
720575940611056482,720575940626557186,31
720575940611056482,720575940627117193,9
720575940611056482,720575940628668009,30
720575940611056482,720575940628973827,10
720575940611056482,720575940630488540,9
720575940611056482,720575940635202155,42
720575940611056482,720575940639756093,16
720575940611168921,720575940615495839,39
720575940611168921,720575940623154712,5
720575940611168921,720575940625339981,33
720575940611168921,720575940626557186,5
720575940611168921,720575940644464544,8
720575940611351193,720575940607377586,5
720575940611351193,720575940619549867,6
720575940611351193,720575940622348156,28
720575940611351193,720575940622519156,11
720575940611351193,720575940625813140,12
720575940611351193,720575940626705497,18
720575940611351193,720575940628668009,5
720575940611351193,720575940628973827,19
720575940611351193,720575940629024591,6
720575940611351193,720575940629778554,5
720575940611351193,720575940635202155,5
720575940611351193,720575940635360924,12
720575940611351193,720575940635625367,6
720575940611351193,720575940636165624,13
720575940611351193,720575940640224640,8
720575940611630194,720575940605971330,22
720575940611630194,720575940608707192,39
720575940611630194,720575940609922372,5
720575940611630194,720575940612606105,25
720575940611630194,720575940615330265,81
720575940611630194,720575940615894614,119
720575940611630194,720575940616014092,18
720575940611630194,720575940616667186,19
720575940611630194,720575940617678566,25
720575940611630194,720575940617787963,9
720575940611630194,720575940617986683,61
720575940611630194,720575940619624795,17
720575940611630194,720575940620626011,10
720575940611630194,720575940621013640,61
720575940611630194,720575940621930710,6
720575940611630194,720575940623149581,12
720575940611630194,720575940623609895,65
720575940611630194,720575940623690474,65
720575940611630194,720575940624882407,9
720575940611630194,720575940625304094,44
720575940611630194,720575940625873560,27
720575940611630194,720575940626847765,10
720575940611630194,720575940626953561,22
720575940611630194,720575940627356459,110
720575940611630194,720575940627359109,10
720575940611630194,720575940628095593,39
720575940611630194,720575940628463042,5
720575940611630194,720575940628684023,82
720575940611630194,720575940629112258,58
720575940611630194,720575940637936710,10
720575940611643033,720575940607377586,17
720575940611643033,720575940608500316,13
720575940611643033,720575940609423299,11
720575940611643033,720575940609937476,12
720575940611643033,720575940611548878,61
720575940611643033,720575940611549902,32
720575940611643033,720575940612438514,41
720575940611643033,720575940612606105,18
720575940611643033,720575940615063592,103
720575940611643033,720575940615071391,19
720575940611643033,720575940615410911,129
720575940611643033,720575940615672130,41
720575940611643033,720575940616014092,8
720575940611643033,720575940616169010,9
720575940611643033,720575940616194610,68
720575940611643033,720575940617151266,69
720575940611643033,720575940617244027,9
720575940611643033,720575940617298747,6
720575940611643033,720575940617678566,138
720575940611643033,720575940617787963,189
720575940611643033,720575940617917579,33
720575940611643033,720575940619016059,13
720575940611643033,720575940619058334,14
720575940611643033,720575940619076731,25
720575940611643033,720575940619114048,9
720575940611643033,720575940619671616,12
720575940611643033,720575940619741104,36
720575940611643033,720575940619771375,20
720575940611643033,720575940619865547,5
720575940611643033,720575940620170887,52
720575940611643033,720575940622018309,72
720575940611643033,720575940622474899,6
720575940611643033,720575940623208141,7
720575940611643033,720575940623272328,7
720575940611643033,720575940623525258,34
720575940611643033,720575940624882407,50
720575940611643033,720575940625875504,5
720575940611643033,720575940626163658,14
720575940611643033,720575940627206074,9
720575940611643033,720575940628095593,28
720575940611643033,720575940628668009,38
720575940611643033,720575940629024591,11
720575940611643033,720575940629098028,5
720575940611643033,720575940629111490,150
720575940611643033,720575940629207963,6
720575940611643033,720575940629804158,37
720575940611643033,720575940630232380,57
720575940611643033,720575940630683385,112
720575940611643033,720575940631108303,8
720575940611643033,720575940631299090,40
720575940611643033,720575940632028216,38
720575940611643033,720575940632602532,16
720575940611643033,720575940632640287,7
720575940611643033,720575940632839763,8
720575940611643033,720575940633762714,98
720575940611643033,720575940635202155,44
720575940611643033,720575940635239672,31
720575940611643033,720575940635360924,6
720575940611643033,720575940636895406,17
720575940611643033,720575940638714694,8
720575940611643033,720575940641648091,5
720575940611643033,720575940643867296,149
720575940611643033,720575940645039383,64
720575940611643033,720575940647036980,10
720575940612642730,720575940605694240,17
720575940612642730,720575940608500316,27
720575940612642730,720575940609993284,5
720575940612642730,720575940610606126,13
720575940612642730,720575940612686233,42
720575940612642730,720575940612888178,10
720575940612642730,720575940614954536,18
720575940612642730,720575940615672130,7
720575940612642730,720575940617298747,7
720575940612642730,720575940618166811,14
720575940612642730,720575940618963732,12
720575940612642730,720575940619114048,18
720575940612642730,720575940619549867,6
720575940612642730,720575940620156209,8
720575940612642730,720575940620182151,17
720575940612642730,720575940620292116,13
720575940612642730,720575940620627035,11
720575940612642730,720575940620673985,8
720575940612642730,720575940620778223,24
720575940612642730,720575940621261296,8
720575940612642730,720575940621569728,15
720575940612642730,720575940621763312,10
720575940612642730,720575940621928453,35
720575940612642730,720575940622054753,13
720575940612642730,720575940622493260,6
720575940612642730,720575940623149581,24
720575940612642730,720575940623209165,6
720575940612642730,720575940623352063,11
720575940612642730,720575940623654804,7
720575940612642730,720575940624023188,6
720575940612642730,720575940624289789,30
720575940612642730,720575940624466440,11
720575940612642730,720575940624987175,15
720575940612642730,720575940625167886,5
720575940612642730,720575940625408796,7
720575940612642730,720575940625813140,11
720575940612642730,720575940625873560,7
720575940612642730,720575940626185353,16
720575940612642730,720575940626468178,33
720575940612642730,720575940627117193,50
720575940612642730,720575940627206074,24
720575940612642730,720575940627359109,12
720575940612642730,720575940627828040,45
720575940612642730,720575940628070419,14
720575940612642730,720575940628680553,7
720575940612642730,720575940628973827,31
720575940612642730,720575940629865319,6
720575940612642730,720575940630488540,57
720575940612642730,720575940631365340,34
720575940612642730,720575940633315921,9
720575940612642730,720575940639756093,5
720575940612642730,720575940639773091,11
720575940612642730,720575940639831459,10
720575940612642730,720575940646930996,31
720575940612642730,720575940660219265,6
720575940612819763,720575940608475331,8
720575940612819763,720575940610606126,27
720575940612819763,720575940617476379,11
720575940612819763,720575940619549867,16
720575940612819763,720575940620335269,5
720575940612819763,720575940623261675,7
720575940612819763,720575940625813140,7
720575940612819763,720575940627210502,8
720575940612819763,720575940635297911,12
720575940612819763,720575940635360924,10
720575940612819763,720575940636165624,16
720575940612819763,720575940639339829,11
720575940615015976,720575940605698080,11
720575940615015976,720575940608475331,6
720575940615015976,720575940609922372,9
720575940615015976,720575940609937476,15
720575940615015976,720575940610000964,6
720575940615015976,720575940613563117,7
720575940615015976,720575940613640685,7
720575940615015976,720575940613943215,5
720575940615015976,720575940615063592,20
720575940615015976,720575940615197747,25
720575940615015976,720575940615410911,8
720575940615015976,720575940615894614,13
720575940615015976,720575940616162866,10
720575940615015976,720575940616169010,6
720575940615015976,720575940617476379,7
