pre_root_id,post_root_id,syn_count,origin_set
720575940604247985,720575940616791709,15,set_6
720575940604247985,720575940623209165,8,set_6
720575940604247985,720575940629207963,28,set_6
720575940604247985,720575940639786915,7,set_6
720575940606388146,720575940608713993,55,set_6
720575940606388146,720575940609922372,140,set_6
720575940606388146,720575940609993284,85,set_6
720575940606388146,720575940610524339,65,set_6
720575940606388146,720575940612470755,30,set_6
720575940606388146,720575940612692633,195,set_6
720575940606388146,720575940613004402,60,set_6
720575940606388146,720575940613170385,25,set_6
720575940606388146,720575940613222195,50,set_6
720575940606388146,720575940613640685,195,set_6
720575940606388146,720575940614635175,80,set_6
720575940606388146,720575940614714514,495,set_6
720575940606388146,720575940614736290,40,set_6
720575940606388146,720575940614954536,25,set_6
720575940606388146,720575940615197747,35,set_6
720575940606388146,720575940615292895,55,set_6
720575940606388146,720575940615495839,110,set_6
720575940606388146,720575940615894614,630,set_6
720575940606388146,720575940616065254,25,set_6
720575940606388146,720575940616162866,145,set_6
720575940606388146,720575940617393625,30,set_6
720575940606388146,720575940617663537,50,set_6
720575940606388146,720575940618165019,205,set_6
720575940606388146,720575940618165787,95,set_6
720575940606388146,720575940618788944,30,set_6
720575940606388146,720575940618963732,30,set_6
720575940606388146,720575940619128699,250,set_6
720575940606388146,720575940619781814,110,set_6
720575940606388146,720575940619900507,185,set_6
720575940606388146,720575940620025620,140,set_6
720575940606388146,720575940620031366,45,set_6
720575940606388146,720575940620553094,30,set_6
720575940606388146,720575940620627035,170,set_6
720575940606388146,720575940620735258,70,set_6
720575940606388146,720575940621329328,45,set_6
720575940606388146,720575940621827419,40,set_6
720575940606388146,720575940621833281,35,set_6
720575940606388146,720575940621894750,275,set_6
720575940606388146,720575940622123144,235,set_6
720575940606388146,720575940622284947,45,set_6
720575940606388146,720575940622657268,165,set_6
720575940606388146,720575940622810153,240,set_6
720575940606388146,720575940623261675,75,set_6
720575940606388146,720575940623535044,350,set_6
720575940606388146,720575940623690474,140,set_6
720575940606388146,720575940623861962,35,set_6
720575940606388146,720575940624928284,145,set_6
720575940606388146,720575940625004034,25,set_6
720575940606388146,720575940625167886,60,set_6
720575940606388146,720575940625339981,85,set_6
720575940606388146,720575940625376442,120,set_6
720575940606388146,720575940625454108,190,set_6
720575940606388146,720575940625813140,85,set_6
720575940606388146,720575940625874992,245,set_6
720575940606388146,720575940626075517,80,set_6
720575940606388146,720575940626127432,30,set_6
720575940606388146,720575940626197593,90,set_6
720575940606388146,720575940626243428,285,set_6
720575940606388146,720575940626919144,115,set_6
720575940606388146,720575940626972056,40,set_6
720575940606388146,720575940627107271,615,set_6
720575940606388146,720575940627356459,355,set_6
720575940606388146,720575940627814728,35,set_6
720575940606388146,720575940627829064,30,set_6
720575940606388146,720575940628463042,60,set_6
720575940606388146,720575940628598121,300,set_6
720575940606388146,720575940628676457,430,set_6
720575940606388146,720575940628743752,205,set_6
720575940606388146,720575940629778554,85,set_6
720575940606388146,720575940630233404,25,set_6
720575940606388146,720575940630504466,85,set_6
720575940606388146,720575940630605881,40,set_6
720575940606388146,720575940630664556,1070,set_6
720575940606388146,720575940630775801,40,set_6
720575940606388146,720575940630868793,265,set_6
720575940606388146,720575940631111983,170,set_6
720575940606388146,720575940631179831,60,set_6
720575940606388146,720575940631619948,240,set_6
720575940606388146,720575940631742381,60,set_6
720575940606388146,720575940631787693,80,set_6
720575940606388146,720575940632118156,205,set_6
720575940606388146,720575940633195148,55,set_6
720575940606388146,720575940633639063,30,set_6
720575940606388146,720575940633824864,25,set_6
720575940606388146,720575940634090777,70,set_6
720575940606388146,720575940634093337,120,set_6
720575940606388146,720575940634105439,215,set_6
720575940606388146,720575940634645600,345,set_6
720575940606388146,720575940634659508,65,set_6
720575940606388146,720575940635297911,255,set_6
720575940606388146,720575940635360924,110,set_6
720575940606388146,720575940635751269,30,set_6
720575940606388146,720575940636165624,295,set_6
720575940606388146,720575940637936710,160,set_6
720575940606388146,720575940638604915,35,set_6
720575940606388146,720575940639756093,45,set_6
720575940606388146,720575940643823470,125,set_6
720575940606388146,720575940644750116,30,set_6
720575940606388146,720575940645527918,145,set_6
720575940606388146,720575940646156420,200,set_6
720575940606388146,720575940652580086,25,set_6
720575940606867145,720575940609922372,17,set_6
720575940606867145,720575940612572131,9,set_6
720575940606867145,720575940613746087,7,set_6
720575940606867145,720575940616791709,6,set_6
720575940606867145,720575940618165787,9,set_6
720575940606867145,720575940620262465,8,set_6
720575940606867145,720575940620741102,6,set_6
720575940606867145,720575940623192781,18,set_6
720575940606867145,720575940623605180,8,set_6
720575940606867145,720575940623737525,7,set_6
720575940606867145,720575940623777065,15,set_6
720575940606867145,720575940625339981,7,set_6
720575940606867145,720575940625807152,8,set_6
720575940606867145,720575940626507346,20,set_6
720575940606867145,720575940627312668,26,set_6
720575940606867145,720575940627916331,5,set_6
720575940606867145,720575940639512192,9,set_6
720575940606867145,720575940643191575,8,set_6
720575940609221700,720575940618472261,12,set_6
720575940609221700,720575940633194029,84,set_6
720575940610594766,720575940633194029,66,set_6
720575940610594766,720575940637936710,10,set_6
720575940610611246,720575940605682790,930,set_6
720575940610611246,720575940607345586,42,set_6
720575940610611246,720575940608370645,96,set_6
720575940610611246,720575940609922372,672,set_6
720575940610611246,720575940610604334,84,set_6
720575940610611246,720575940611018865,312,set_6
720575940610611246,720575940612208858,36,set_6
720575940610611246,720575940613640685,132,set_6
720575940610611246,720575940614635175,30,set_6
720575940610611246,720575940614714514,48,set_6
720575940610611246,720575940614954536,102,set_6
