root_id,upstream_set_1_PSO_SAs,set_1_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940605698080,5,72,1,ACH,right,509.0,227.0,local,0
720575940605703456,4,66,1,ACH,right,238.0,111.0,local,0
720575940606867145,4,51,1,ACH,right,248.0,199.0,projection,16
720575940607472988,2,21,1,GABA,right,968.0,761.0,local,0
720575940608239371,1,5,1,ACH,left,275.0,212.0,local,0
720575940608475331,4,62,1,ACH,left,464.0,446.0,local,0
720575940608713993,4,103,1,ACH,left,541.0,319.0,local,0
720575940609922372,3,18,1,ACH,right,1406.0,1518.0,local,0
720575940610079957,3,21,1,ACH,left,306.0,149.0,projection,67
720575940610524339,2,12,1,GABA,left,275.0,720.0,local,0
720575940611018865,7,152,1,GABA,right,442.0,727.0,local,0
720575940611780648,3,18,1,GLUT,left,153.0,45.0,projection,45
720575940612423922,1,5,1,GABA,left,2894.0,2371.0,local,0
720575940613361010,3,22,1,ACH,left,311.0,551.0,projection,551
720575940613426343,4,74,1,ACH,left,383.0,218.0,local,0
720575940613828202,4,101,1,ACH,right,291.0,129.0,local,0
720575940614635175,4,39,1,GABA,right,4915.0,2947.0,projection,9
720575940614714514,4,58,1,ACH,left,1173.0,819.0,local,0
720575940614753653,1,5,1,ACH,left,87.0,178.0,projection,7
720575940615050346,1,10,1,ACH,right,454.0,838.0,local,0
720575940615245107,4,137,1,ACH,left,517.0,232.0,local,0
720575940615292895,4,139,1,ACH,left,1597.0,1018.0,local,0
720575940615894614,1,5,1,GABA,left,1225.0,1416.0,local,0
720575940616167730,3,22,1,GLUT,right,3344.0,1750.0,local,0
720575940616169010,4,29,1,ACH,right,388.0,365.0,local,0
720575940616217403,3,56,1,GLUT,right,1616.0,886.0,local,0
720575940616497477,4,92,1,ACH,right,407.0,215.0,local,0
720575940616747830,1,10,1,GLUT,right,97.0,48.0,projection,48
720575940616791709,1,7,1,ACH,right,2458.0,1523.0,local,0
720575940616801622,1,5,1,GLUT,right,798.0,573.0,projection,414
720575940616896257,3,34,1,ACH,left,96.0,193.0,projection,19
720575940616921152,1,9,1,ACH,left,3432.0,1772.0,local,0
720575940617244027,1,5,1,ACH,right,185.0,311.0,local,0
720575940617393625,4,30,1,ACH,left,1168.0,1086.0,local,0
720575940617476379,4,82,1,ACH,left,471.0,449.0,local,0
720575940617799253,4,127,1,ACH,left,351.0,262.0,local,0
720575940617917579,3,21,1,ACH,right,782.0,1228.0,local,0
720575940619128699,8,180,1,GABA,left,447.0,709.0,local,0
720575940619414321,1,11,1,ACH,right,34.0,202.0,projection,6
720575940619900507,8,99,1,GABA,left,421.0,687.0,local,0
720575940620451866,4,92,1,ACH,right,288.0,126.0,local,0
720575940620553094,3,27,1,GABA,left,4469.0,3021.0,local,0
720575940620735258,4,86,1,ACH,left,646.0,316.0,local,0
720575940620741102,2,18,1,ACH,right,911.0,1082.0,local,0
720575940621256384,4,452,1,,right,2635.0,1271.0,local,0
720575940621736669,4,136,1,GLUT,right,2658.0,1204.0,local,0
720575940622123144,8,138,1,GABA,left,402.0,498.0,local,0
720575940622457579,4,26,1,ACH,left,585.0,785.0,local,0
720575940622519156,4,110,1,ACH,right,522.0,538.0,local,0
720575940622661095,4,50,1,ACH,left,670.0,275.0,local,0
720575940622688765,5,40,1,ACH,right,270.0,204.0,local,0
720575940622732253,1,6,1,ACH,right,2003.0,1227.0,local,0
720575940623004552,4,116,1,ACH,right,457.0,246.0,local,0
720575940623066893,4,95,1,ACH,right,500.0,415.0,local,0
720575940623154712,1,6,1,GABA,right,1297.0,2286.0,local,0
720575940623261675,4,131,1,ACH,left,506.0,364.0,local,0
720575940623381286,2,10,1,GLUT,left,1083.0,1016.0,local,0
720575940623861962,7,123,1,ACH,left,565.0,318.0,local,0
720575940624222205,4,99,1,ACH,left,386.0,211.0,local,0
720575940624273149,6,67,1,ACH,left,316.0,224.0,local,0
720575940624352970,4,97,1,ACH,right,407.0,296.0,local,0
720575940624928284,4,37,1,GABA,left,731.0,1448.0,local,0
720575940625081290,6,150,1,ACH,right,665.0,299.0,local,0
720575940625147645,3,28,1,GLUT,left,120.0,158.0,projection,147
720575940625339981,1,9,1,GABA,right,566.0,507.0,local,0
720575940625807152,1,5,1,GABA,right,875.0,1105.0,local,0
720575940626185353,3,22,1,ACH,right,299.0,637.0,local,0
720575940626243428,1,10,1,ACH,left,1086.0,1162.0,local,0
720575940626348106,2,11,1,GLUT,left,288.0,138.0,local,0
720575940626507346,6,113,1,GABA,left,844.0,632.0,local,0
720575940626555153,1,5,1,ACH,right,363.0,473.0,local,0
720575940626705497,1,5,1,ACH,right,1357.0,1543.0,local,0
720575940626809109,3,25,1,ACH,right,1067.0,1491.0,local,0
720575940626983684,1,6,1,ACH,right,268.0,801.0,projection,801
720575940627040549,4,91,1,ACH,left,471.0,369.0,local,0
720575940627206074,4,107,1,ACH,right,1244.0,1820.0,local,0
720575940627210502,4,137,1,ACH,left,523.0,508.0,local,0
720575940627254856,5,103,1,GABA,right,294.0,255.0,local,0
720575940627312668,2,17,1,GABA,right,2777.0,3094.0,local,0
720575940627443996,4,32,1,ACH,right,537.0,799.0,local,0
720575940627916331,7,43,1,ACH,right,1320.0,1002.0,local,0
720575940627936515,1,6,1,ACH,right,256.0,175.0,local,0
720575940628182910,4,31,1,ACH,left,802.0,574.0,local,0
720575940628325242,2,10,1,ACH,right,64.0,131.0,projection,26
720575940628504849,3,22,1,ACH,right,421.0,215.0,projection,135
720575940628676457,4,299,1,,left,1603.0,264.0,local,0
720575940628683063,1,5,1,ACH,left,1172.0,1050.0,local,0
720575940628885160,4,154,1,ACH,right,1522.0,1155.0,local,0
720575940628995587,1,5,1,GABA,right,2234.0,2064.0,local,0
720575940629317450,4,115,1,GLUT,left,2901.0,1090.0,local,0
