root_id,upstream_set_3_2Ns,set_3_syn_count,const,input_synapses,pct_set_3_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940603266592,2,21,1,21,100.0,10.5,local,0
720575940604027168,1,8,1,8,100.0,8.0,local,0
720575940604030566,3,41,1,41,100.0,13.666666666666666,local,0
720575940604247985,1,8,1,8,100.0,8.0,local,0
720575940604308401,1,5,1,5,100.0,5.0,projection,34
720575940604470956,1,5,1,5,100.0,5.0,projection,93
720575940604705312,1,24,1,24,100.0,24.0,local,0
720575940604791217,1,8,1,8,100.0,8.0,local,0
720575940604852146,2,30,1,30,100.0,15.0,local,0
720575940605154988,1,48,1,48,100.0,48.0,local,0
720575940605443017,2,50,1,50,100.0,25.0,local,0
720575940605647234,1,11,1,11,100.0,11.0,projection,30
720575940605682790,6,1067,1,1067,100.0,177.83333333333334,local,0
720575940605695665,1,6,1,6,100.0,6.0,local,0
720575940605703456,3,54,1,54,100.0,18.0,local,0
720575940605707710,3,31,1,31,100.0,10.333333333333334,local,0
720575940605890784,32,2258,1,2258,100.0,70.5625,local,0
720575940606239666,2,36,1,36,100.0,18.0,local,0
720575940606254002,1,15,1,15,100.0,15.0,local,0
720575940606676572,1,8,1,8,100.0,8.0,local,0
720575940606866377,7,220,1,220,100.0,31.428571428571427,local,0
720575940606867145,4,290,1,290,100.0,72.5,projection,16
720575940607071106,2,76,1,76,100.0,38.0,local,0
720575940607152476,3,1082,1,1082,100.0,360.6666666666667,local,0
720575940607162754,25,4919,1,4919,100.0,196.76,local,0
720575940607166731,1,208,1,208,100.0,208.0,local,0
720575940607253170,1,16,1,16,100.0,16.0,projection,44
720575940607272649,8,1181,1,1181,100.0,147.625,local,0
720575940607345586,14,1789,1,1789,100.0,127.78571428571429,local,0
720575940607386290,11,286,1,286,100.0,26.0,local,0
720575940607387314,2,71,1,71,100.0,35.5,local,0
720575940607500297,2,20,1,20,100.0,10.0,local,0
720575940607672003,1,48,1,48,100.0,48.0,local,0
720575940608188427,3,43,1,43,100.0,14.333333333333334,local,0
720575940608239371,3,125,1,125,100.0,41.666666666666664,local,0
720575940608279817,1,5,1,5,100.0,5.0,local,0
720575940608292361,1,12,1,12,100.0,12.0,local,0
720575940608295689,2,35,1,35,100.0,17.5,local,0
720575940608296917,2,31,1,31,100.0,15.5,local,0
720575940608356053,1,32,1,32,100.0,32.0,local,0
720575940608368818,1,9,1,9,100.0,9.0,local,0
720575940608451420,2,10,1,10,100.0,5.0,local,0
720575940608498780,8,1096,1,1096,100.0,137.0,local,0
720575940608735241,9,980,1,980,100.0,108.88888888888889,local,0
720575940608883780,1,10,1,10,100.0,10.0,projection,91
720575940608884693,1,5,1,5,100.0,5.0,projection,161
720575940609133269,46,3639,1,3639,100.0,79.1086956521739,projection,316
720575940609306563,2,35,1,35,100.0,17.5,local,0
720575940609405635,5,200,1,200,100.0,40.0,projection,64
720575940609407939,10,654,1,654,100.0,65.4,local,0
720575940609521250,6,75,1,75,100.0,12.5,local,0
720575940609533230,2,37,1,37,100.0,18.5,local,0
720575940609592270,2,20,1,20,100.0,10.0,local,0
720575940609644498,1,14,1,14,100.0,14.0,local,0
720575940609787256,3,2643,1,2643,100.0,881.0,local,0
720575940609913042,2,77,1,77,100.0,38.5,local,0
720575940609915204,6,139,1,139,100.0,23.166666666666668,local,0
720575940609939780,7,690,1,690,100.0,98.57142857142857,local,0
720575940609957315,1,10,1,10,100.0,10.0,projection,14
720575940610001220,4,162,1,162,100.0,40.5,local,0
720575940610004437,6,942,1,942,100.0,157.0,local,0
720575940610055982,3,53,1,53,100.0,17.666666666666668,local,0
720575940610079957,2,311,1,311,100.0,155.5,projection,63
720575940610103906,4,347,1,347,100.0,86.75,local,0
720575940610173048,22,2782,1,2782,100.0,126.45454545454545,local,0
720575940610232274,5,397,1,397,100.0,79.4,local,0
720575940610258552,6,159,1,159,100.0,26.5,local,0
720575940610259370,1,8,1,8,100.0,8.0,local,0
720575940610474610,2,37,1,37,100.0,18.5,local,0
720575940610482883,13,260,1,260,100.0,20.0,local,0
720575940610524339,3,195,1,195,100.0,65.0,local,0
720575940610550830,1,5,1,5,100.0,5.0,local,0
720575940610584945,5,152,1,152,100.0,30.4,local,0
720575940610590869,6,408,1,408,100.0,68.0,local,0
720575940610594766,2,83,1,83,100.0,41.5,local,0
720575940610604334,1,84,1,84,100.0,84.0,projection,24
720575940610615013,3,79,1,79,100.0,26.333333333333332,local,0
720575940610649442,2,33,1,33,100.0,16.5,local,0
720575940610677828,9,497,1,497,100.0,55.22222222222222,local,0
720575940610683315,1,10,1,10,100.0,10.0,local,0
720575940610708430,1,7,1,7,100.0,7.0,projection,1201
720575940610716770,1,17,1,17,100.0,17.0,local,0
720575940610773090,2,13,1,13,100.0,6.5,local,0
720575940610803554,4,121,1,121,100.0,30.25,projection,147
720575940610846306,1,14,1,14,100.0,14.0,projection,39
720575940610847973,1,35,1,35,100.0,35.0,local,0
720575940610916465,2,22,1,22,100.0,11.0,local,0
720575940610981362,1,143,1,143,100.0,143.0,local,0
720575940610986006,2,12,1,12,100.0,6.0,local,0
720575940611015122,1,8,1,8,100.0,8.0,local,0
720575940611018865,8,723,1,723,100.0,90.375,local,0
720575940611056482,2,577,1,577,100.0,288.5,local,0
720575940611106453,2,40,1,40,100.0,20.0,local,0
720575940611151406,3,85,1,85,100.0,28.333333333333332,local,0
720575940611157746,1,45,1,45,100.0,45.0,local,0
720575940611160930,8,430,1,430,100.0,53.75,projection,394
720575940611164770,2,32,1,32,100.0,16.0,projection,1481
720575940611167842,20,1088,1,1088,100.0,54.4,local,0
720575940611168921,2,27,1,27,100.0,13.5,local,0
720575940611184819,2,32,1,32,100.0,16.0,local,0
720575940611211417,3,45,1,45,100.0,15.0,local,0
720575940611248662,3,65,1,65,100.0,21.666666666666668,local,0
720575940611351193,5,645,1,645,100.0,129.0,local,0
720575940611388595,3,29,1,29,100.0,9.666666666666666,local,0
720575940611411057,1,54,1,54,100.0,54.0,projection,303
720575940611436408,9,383,1,383,100.0,42.55555555555556,local,0
720575940611475698,2,88,1,88,100.0,44.0,local,0
720575940611496165,5,64,1,64,100.0,12.8,projection,104
720575940611499669,1,12,1,12,100.0,12.0,local,0
720575940611502286,4,2007,1,2007,100.0,501.75,local,0
720575940611531986,6,196,1,196,100.0,32.666666666666664,local,0
720575940611630194,3,296,1,296,100.0,98.66666666666667,local,0
720575940611643033,6,436,1,436,100.0,72.66666666666667,local,0
720575940611667173,1,6,1,6,100.0,6.0,projection,50
720575940611672538,1,10,1,10,100.0,10.0,local,0
720575940611678181,2,25,1,25,100.0,12.5,local,0
720575940611715813,9,122,1,122,100.0,13.555555555555555,local,0
720575940611723473,1,7,1,7,100.0,7.0,local,0
720575940611780648,1,5,1,5,100.0,5.0,projection,38
720575940611812050,3,53,1,53,100.0,17.666666666666668,projection,934
720575940611813842,2,83,1,83,100.0,41.5,projection,7
720575940611849178,1,7,1,7,100.0,7.0,local,0
720575940611849826,1,22,1,22,100.0,22.0,local,0
720575940611858906,2,63,1,63,100.0,31.5,local,0
720575940611885461,4,256,1,256,100.0,64.0,local,0
720575940611939290,2,30,1,30,100.0,15.0,local,0
720575940611958994,2,39,1,39,100.0,19.5,projection,49
720575940611988197,5,325,1,325,100.0,65.0,local,0
720575940612019569,9,739,1,739,100.0,82.11111111111111,local,0
720575940612208858,40,11018,1,11018,100.0,275.45,local,0
720575940612235747,5,97,1,97,100.0,19.4,local,0
720575940612256938,3,140,1,140,100.0,46.666666666666664,local,0
720575940612261603,3,142,1,142,100.0,47.333333333333336,local,0
720575940612277090,4,106,1,106,100.0,26.5,local,0
720575940612289010,8,882,1,882,100.0,110.25,projection,13
720575940612319155,1,15,1,15,100.0,15.0,projection,198
720575940612339123,3,108,1,108,100.0,36.0,local,0
720575940612354034,19,1607,1,1607,100.0,84.57894736842105,local,0
720575940612357618,15,987,1,987,100.0,65.8,local,0
720575940612376805,1,18,1,18,100.0,18.0,local,0
720575940612423922,12,564,1,564,100.0,47.0,local,0
720575940612427670,1,15,1,15,100.0,15.0,local,0
720575940612443890,10,4166,1,4166,100.0,416.6,local,0
720575940612470755,7,144,1,144,100.0,20.571428571428573,local,0
720575940612479205,2,176,1,176,100.0,88.0,projection,5
720575940612554393,5,146,1,146,100.0,29.2,local,0
720575940612558061,5,115,1,115,100.0,23.0,local,0
720575940612564135,1,40,1,40,100.0,40.0,local,0
720575940612572723,3,64,1,64,100.0,21.333333333333332,projection,78
720575940612582514,2,25,1,25,100.0,12.5,local,0
720575940612599193,1,9,1,9,100.0,9.0,local,0
720575940612642730,1,36,1,36,100.0,36.0,local,0
720575940612692889,5,96,1,96,100.0,19.2,local,0
720575940612738197,1,6,1,6,100.0,6.0,projection,165
720575940612819763,5,606,1,606,100.0,121.2,local,0
720575940612906518,7,458,1,458,100.0,65.42857142857143,local,0
720575940612910503,5,147,1,147,100.0,29.4,local,0
720575940612952557,4,905,1,905,100.0,226.25,local,0
720575940612984981,2,276,1,276,100.0,138.0,local,0
720575940613004402,14,1274,1,1274,100.0,91.0,local,0
720575940613061118,1,12,1,12,100.0,12.0,local,0
720575940613080751,3,32,1,32,100.0,10.666666666666666,local,0
720575940613106582,1,9,1,9,100.0,9.0,projection,23
720575940613112293,3,40,1,40,100.0,13.333333333333334,local,0
720575940613120721,1,95,1,95,100.0,95.0,local,0
720575940613154582,10,3234,1,3234,100.0,323.4,local,0
720575940613170385,6,309,1,309,100.0,51.5,local,0
720575940613213615,6,110,1,110,100.0,18.333333333333332,local,0
