pre_root_id,post_root_id,syn_count,origin_set
720575940605161388,720575940618165019,40,set_3
720575940605161388,720575940625874992,72,set_3
720575940605161388,720575940630868793,20,set_3
720575940605694240,720575940609133269,40,set_3
720575940605694240,720575940612208858,40,set_3
720575940605694240,720575940615583650,64,set_3
720575940605694240,720575940621957381,56,set_3
720575940605694240,720575940625867056,40,set_3
720575940605694240,720575940625978882,48,set_3
720575940605694240,720575940626798736,80,set_3
720575940605694240,720575940626939737,80,set_3
720575940605694240,720575940626960536,360,set_3
720575940605694240,720575940628686695,48,set_3
720575940605694240,720575940629773276,64,set_3
720575940605694240,720575940630589036,456,set_3
720575940605694240,720575940631588772,40,set_3
720575940605694240,720575940632134227,112,set_3
720575940605694240,720575940635610548,64,set_3
720575940605694240,720575940637360730,216,set_3
720575940605698080,720575940611018865,84,set_3
720575940605698080,720575940620780272,30,set_3
720575940605698080,720575940621256384,54,set_3
720575940605698080,720575940623133223,36,set_3
720575940605698080,720575940623449382,78,set_3
720575940605698080,720575940625172016,72,set_3
720575940605698080,720575940626809109,84,set_3
720575940605698080,720575940626983684,36,set_3
720575940605698080,720575940627254856,78,set_3
720575940605698080,720575940627312668,54,set_3
720575940605698080,720575940627443996,36,set_3
720575940605698080,720575940628504849,30,set_3
720575940605698080,720575940629954872,96,set_3
720575940605698080,720575940630504466,36,set_3
720575940605698080,720575940630661164,42,set_3
720575940605698080,720575940631111983,30,set_3
720575940605698080,720575940632900503,30,set_3
720575940605698080,720575940634659508,78,set_3
720575940605698080,720575940639512192,84,set_3
720575940605698080,720575940642910152,48,set_3
720575940605698080,720575940643823470,48,set_3
720575940605698080,720575940646156420,30,set_3
720575940605698080,720575940648708228,42,set_3
720575940605971330,720575940614660519,10,set_3
720575940605971330,720575940615292895,22,set_3
720575940605971330,720575940616921152,22,set_3
720575940605971330,720575940617853730,36,set_3
720575940605971330,720575940621218694,22,set_3
720575940605971330,720575940623381286,68,set_3
720575940605971330,720575940623476407,10,set_3
720575940605971330,720575940624600840,22,set_3
720575940605971330,720575940624988455,10,set_3
720575940605971330,720575940625298276,18,set_3
720575940605971330,720575940628023685,12,set_3
720575940605971330,720575940628436282,66,set_3
720575940605971330,720575940630575943,16,set_3
720575940605971330,720575940631092943,148,set_3
720575940605971330,720575940631349335,18,set_3
720575940605971330,720575940631507596,24,set_3
720575940605971330,720575940634090777,10,set_3
720575940605971330,720575940638103349,14,set_3
720575940605971330,720575940641536987,10,set_3
720575940605971330,720575940643703831,28,set_3
720575940606388146,720575940610524339,130,set_3
720575940606388146,720575940612470755,60,set_3
720575940606388146,720575940613004402,120,set_3
720575940606388146,720575940613170385,50,set_3
720575940606388146,720575940613222195,100,set_3
720575940606388146,720575940614635175,160,set_3
720575940606388146,720575940614736290,80,set_3
720575940606388146,720575940615292895,110,set_3
720575940606388146,720575940616065254,50,set_3
720575940606388146,720575940617663537,100,set_3
720575940606388146,720575940618165019,410,set_3
720575940606388146,720575940618165787,190,set_3
720575940606388146,720575940618788944,60,set_3
720575940606388146,720575940619128699,500,set_3
720575940606388146,720575940619781814,220,set_3
720575940606388146,720575940619900507,370,set_3
720575940606388146,720575940620025620,280,set_3
720575940606388146,720575940620031366,90,set_3
720575940606388146,720575940620553094,60,set_3
720575940606388146,720575940621329328,90,set_3
720575940606388146,720575940621827419,80,set_3
720575940606388146,720575940621833281,70,set_3
720575940606388146,720575940622123144,470,set_3
720575940606388146,720575940622284947,90,set_3
720575940606388146,720575940622657268,330,set_3
720575940606388146,720575940623535044,700,set_3
720575940606388146,720575940624928284,290,set_3
720575940606388146,720575940625376442,240,set_3
720575940606388146,720575940625454108,380,set_3
720575940606388146,720575940625874992,490,set_3
720575940606388146,720575940626075517,160,set_3
720575940606388146,720575940626127432,60,set_3
720575940606388146,720575940626197593,180,set_3
720575940606388146,720575940626919144,230,set_3
720575940606388146,720575940626972056,80,set_3
720575940606388146,720575940627107271,1230,set_3
720575940606388146,720575940627275795,540,set_3
720575940606388146,720575940627814728,70,set_3
720575940606388146,720575940627829064,60,set_3
720575940606388146,720575940628743752,410,set_3
720575940606388146,720575940630233404,50,set_3
720575940606388146,720575940630470391,190,set_3
720575940606388146,720575940630504466,170,set_3
720575940606388146,720575940630605881,80,set_3
720575940606388146,720575940630664556,2140,set_3
720575940606388146,720575940630775801,80,set_3
720575940606388146,720575940630868793,530,set_3
720575940606388146,720575940631111983,340,set_3
720575940606388146,720575940631619948,480,set_3
720575940606388146,720575940631742381,120,set_3
720575940606388146,720575940631787693,160,set_3
720575940606388146,720575940633195148,110,set_3
720575940606388146,720575940633639063,60,set_3
720575940606388146,720575940633824864,50,set_3
720575940606388146,720575940634090777,140,set_3
720575940606388146,720575940634093337,240,set_3
720575940606388146,720575940634659508,130,set_3
720575940606388146,720575940643823470,250,set_3
720575940606388146,720575940644750116,60,set_3
720575940606388146,720575940646156420,400,set_3
720575940606388146,720575940652580086,50,set_3
720575940607377586,720575940605154988,48,set_3
720575940607377586,720575940607162754,1128,set_3
720575940607377586,720575940610482883,36,set_3
720575940607377586,720575940610590869,54,set_3
720575940607377586,720575940610677828,102,set_3
720575940607377586,720575940612208858,36,set_3
720575940607377586,720575940612443890,54,set_3
720575940607377586,720575940616038294,48,set_3
720575940607377586,720575940617493597,30,set_3
720575940607377586,720575940618514043,48,set_3
720575940607377586,720575940618539810,552,set_3
