pre_root_id,post_root_id,syn_count
720575940606239666,720575940610611246,109
720575940606239666,720575940612235747,9
720575940606239666,720575940612738197,6
720575940606239666,720575940616298171,10
720575940606239666,720575940616791709,35
720575940606239666,720575940619741104,8
720575940606239666,720575940622474899,9
720575940606239666,720575940623381286,5
720575940606239666,720575940624554170,6
720575940606239666,720575940627206074,6
720575940606239666,720575940630059052,6
720575940606239666,720575940630182972,38
720575940606239666,720575940631340815,6
720575940606239666,720575940632274914,8
720575940606239666,720575940635184735,15
720575940606239666,720575940635239672,15
720575940606239666,720575940636895406,9
720575940606239666,720575940639339829,10
720575940606239666,720575940646274670,17
720575940606239666,720575940648804217,5
720575940612256938,720575940606388146,79
720575940612256938,720575940612289010,15
720575940612256938,720575940614965691,6
720575940612256938,720575940616921152,23
720575940612256938,720575940619453831,7
720575940612256938,720575940622348156,6
720575940612256938,720575940624554170,8
720575940612256938,720575940629470838,17
720575940612256938,720575940633919992,11
720575940612256938,720575940635239672,9
720575940612256938,720575940636895406,12
720575940612256938,720575940638604915,5
720575940612256938,720575940646274670,21
720575940612256938,720575940647036980,21
720575940612256938,720575940648804217,13
720575940619652033,720575940606388146,60
720575940619652033,720575940612289010,20
720575940619652033,720575940616921152,34
720575940619652033,720575940623381286,10
720575940619652033,720575940623853837,5
720575940619652033,720575940624530372,5
720575940619652033,720575940624554170,11
720575940619652033,720575940627371834,5
720575940619652033,720575940629470838,18
720575940619652033,720575940629839947,5
720575940619652033,720575940630059052,9
720575940619652033,720575940630182972,5
720575940619652033,720575940633919992,11
720575940619652033,720575940635239672,16
720575940619652033,720575940635696279,5
720575940619652033,720575940636895406,9
720575940619652033,720575940638604915,5
720575940619652033,720575940639339829,5
720575940619652033,720575940646274670,12
720575940619652033,720575940647036980,27
720575940626767152,720575940610611246,55
720575940626767152,720575940612357618,9
720575940626767152,720575940616298171,5
720575940626767152,720575940616791709,10
720575940626767152,720575940620553654,7
720575940626767152,720575940622474899,16
720575940626767152,720575940625716357,7
720575940626767152,720575940626507346,8
720575940626767152,720575940630182972,8
720575940626767152,720575940635184735,5
720575940626767152,720575940635239672,12
720575940626767152,720575940636895406,5
720575940626767152,720575940646274670,16
720575940626767152,720575940648804217,7
720575940627274578,720575940606388146,108
720575940627274578,720575940612289010,14
720575940627274578,720575940614965691,8
720575940627274578,720575940616921152,40
720575940627274578,720575940619453831,7
720575940627274578,720575940620553654,5
720575940627274578,720575940622348156,5
720575940627274578,720575940622661095,5
720575940627274578,720575940623853837,5
720575940627274578,720575940624530372,5
720575940627274578,720575940624554170,7
720575940627274578,720575940629470838,25
720575940627274578,720575940633919992,7
720575940627274578,720575940635239672,18
720575940627274578,720575940636895406,21
720575940627274578,720575940646274670,29
720575940627274578,720575940647036980,28
720575940627274578,720575940648804217,5
720575940627989609,720575940606388146,66
720575940627989609,720575940612289010,12
720575940627989609,720575940615071391,7
720575940627989609,720575940616921152,21
720575940627989609,720575940619453831,6
720575940627989609,720575940619741104,8
720575940627989609,720575940620553654,7
720575940627989609,720575940622348156,5
720575940627989609,720575940624554170,11
720575940627989609,720575940629470838,18
720575940627989609,720575940629839947,6
720575940627989609,720575940633919992,6
720575940627989609,720575940635239672,7
720575940627989609,720575940636895406,7
720575940627989609,720575940646274670,19
720575940627989609,720575940647036980,19
720575940627989609,720575940648804217,9
720575940634085786,720575940610611246,72
