root_id,upstream_set_5_StN_SAs,set_5_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940606388146,5,370,1,GLUT,left,1331.0,3317.0,local,0
720575940610611246,5,390,1,GLUT,right,1195.0,3639.0,local,0
720575940612235747,2,16,1,,right,205.0,156.0,local,0
720575940612289010,5,77,1,SER,left,983.0,100.0,projection,39
720575940612357618,2,16,1,ACH,right,2274.0,730.0,local,0
720575940612738197,2,13,1,,right,159.0,214.0,projection,165
720575940614965691,3,19,1,,left,589.0,504.0,local,0
720575940615071391,2,17,1,ACH,left,432.0,1207.0,local,0
720575940616298171,2,15,1,GLUT,right,809.0,1073.0,local,0
720575940616791709,5,133,1,ACH,right,2458.0,1523.0,local,0
720575940616921152,5,141,1,ACH,left,3432.0,1772.0,local,0
720575940619453831,4,27,1,,left,538.0,575.0,local,0
720575940619741104,5,36,1,ACH,right,603.0,1162.0,local,0
720575940620553654,5,33,1,,right,304.0,0.0,local,0
720575940622348156,3,16,1,ACH,left,1789.0,1556.0,local,0
720575940622474899,6,81,1,SER,right,1009.0,121.0,projection,59
720575940622661095,2,10,1,ACH,left,670.0,275.0,local,0
720575940623040094,1,5,1,,right,53.0,254.0,projection,31
720575940623381286,3,22,1,GLUT,left,1083.0,1016.0,local,0
720575940623853837,2,10,1,ACH,left,174.0,242.0,projection,198
720575940624530372,3,21,1,ACH,left,412.0,220.0,local,0
720575940624554170,9,74,1,,left,429.0,0.0,local,0
720575940625716357,2,19,1,,left,661.0,614.0,local,0
720575940626507346,3,29,1,GABA,left,844.0,632.0,local,0
720575940626972568,3,23,1,ACH,right,243.0,188.0,local,0
720575940626999464,1,5,1,GLUT,left,864.0,554.0,local,0
720575940627004459,2,16,1,ACH,right,318.0,155.0,local,0
720575940627206074,3,34,1,ACH,right,1244.0,1820.0,local,0
720575940627371834,1,5,1,ACH,left,203.0,577.0,local,0
720575940627916331,1,6,1,ACH,right,1320.0,1002.0,local,0
720575940628530961,1,5,1,ACH,right,95.0,227.0,projection,221
720575940628973827,1,5,1,GABA,right,1530.0,1381.0,local,0
720575940629207963,1,7,1,ACH,right,1142.0,991.0,local,0
720575940629470838,5,90,1,GLUT,left,1117.0,798.0,local,0
720575940629839947,2,11,1,ACH,left,200.0,220.0,local,0
720575940630059052,2,15,1,GABA,right,377.0,557.0,local,0
720575940630182972,6,105,1,GLUT,right,1114.0,601.0,local,0
720575940631340815,3,23,1,GABA,center,3379.0,4948.0,projection,53
720575940632274914,3,19,1,GABA,left,352.0,508.0,local,0
720575940633919992,4,35,1,ACH,left,262.0,200.0,local,0
720575940635184735,5,40,1,ACH,right,255.0,621.0,local,0
720575940635239672,10,129,1,SER,right,1855.0,56.0,projection,13
720575940635696279,1,5,1,GLUT,left,777.0,533.0,local,0
720575940636895406,10,100,1,SER,left,1814.0,77.0,projection,16
720575940638604915,2,10,1,ACH,left,1440.0,1086.0,local,0
720575940639339829,3,22,1,ACH,right,1507.0,1362.0,local,0
720575940646274670,10,188,1,,left,1773.0,0.0,local,0
720575940647036980,5,113,1,ACH,left,1830.0,2227.0,local,0
720575940648804217,8,61,1,,left,295.0,0.0,local,0
