root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940630434616,[],FLA.138,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,[],left,0,57
720575940631572141,[],PRW.283,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,32,260
720575940635501560,[],PRW.376,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],left,402,0
720575940631070239,[],PRW.300,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,19,270
720575940631462969,[],PRW.444,GLUT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,[],left,0,16
720575940650760825,[],PRW.201,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,45,337
720575940644676900,[],PRW.362,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,33,281
720575940645493283,[],PRW.294,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,9,482
720575940633194029,[],PRW.350,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,409,6
720575940625871181,[],PRW.273,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,9,522
720575940631963821,[],PRW.365,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,12,182
720575940631049064,[],PRW.406,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,18,128
720575940633895469,[],PRW.224,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,33,346
720575940633129683,[],PRW.305,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,25,290
720575940634085786,[],GNG.PRW.48,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,31,274
720575940630654539,[],PRW.244,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'],right,96,217
720575940646039092,[],PRW.250,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,15,273
720575940645524003,[],PRW.417,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,304,0
720575940623056422,[],PRW.341,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,454,5
720575940639786830,[],PRW.236,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,572
720575940620983637,[],PRW.391,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,424,5
720575940632743649,[],PRW.364,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,0,147
720575940626311049,[],PRW.246,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,549
720575940626396803,[],PRW.301,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,18,475
720575940617034713,[],FLA.125,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,107
720575940624502269,[],PRW.325,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,12,188
