root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940658442625,['pharyngeal GRN'],PRW.97,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'; 'rich_club'],right,786,1321
720575940609913042,['pharyngeal GRN'],PRW.58,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,619,2030
720575940623834300,['pharyngeal GRN'],PRW.112,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,306,1055
720575940626015242,['pharyngeal GRN'],GNG.PRW.20,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,182,795
720575940629358807,['pharyngeal GRN'],PRW.GNG.24,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,217,1310
720575940628891774,['labial GRN'],GNG.3433,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'],right,17,51
720575940640601563,['pharyngeal GRN'],PRW.63,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,662,1717
720575940619928929,['pharyngeal GRN'],PRW.69,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,371,1321
720575940625031610,['pharyngeal GRN'],PRW.129,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,315,818
720575940630893196,[],GNG.960,ACH,afferent,sensory,gustatory,,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,574,1536
720575940616562150,['pharyngeal GRN'],PRW.199,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,77,350
720575940611211417,[],GNG.817,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,577,1677
720575940628673474,[],PRW.216,ACH,afferent,sensory,gustatory,,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,55,334
720575940628329546,[],GNG.1657,ACH,afferent,sensory,gustatory,,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,79,409
720575940638419534,[],GNG.934,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,570,1529
720575940621870349,['pharyngeal GRN'],PRW.GNG.33,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,88,383
720575940632423394,['pharyngeal GRN'],GNG.1439,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,91,437
720575940635391845,[],GNG.1709,ACH,afferent,sensory,gustatory,,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,64,297
720575940631284511,[],PRW.377,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,39,120
720575940638608803,[],PRW.214,ACH,afferent,sensory,gustatory,,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,98,349
720575940623660558,[],GNG.857,ACH,afferent,sensory,gustatory,,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,607,1679
