root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,in_question
720575940648377209,[],PRW.389,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_5,['feedforward_loop_participant'],left,27,201,
720575940644676900,[],PRW.362,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_5,['feedforward_loop_participant'],right,33,281,
720575940627989609,[],PRW.367,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_5,['feedforward_loop_participant'],left,30,234,
720575940627274578,[],PRW.354,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_5,['feedforward_loop_participant'],left,32,342,
720575940612256938,[],PRW.393,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_5,['feedforward_loop_participant'],left,36,253,
720575940621207517,[],PRW.382,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'],left,60,146,
720575940630654539,[],PRW.244,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['3_cycle_participant'; 'feedforward_loop_participant'],right,96,217,
720575940633194029,[],PRW.350,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],right,409,6,
720575940623056422,[],PRW.341,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],right,454,5,
720575940620983637,[],PRW.391,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],right,424,5,
720575940622144648,[],PRW.261,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],right,645,15,
720575940611388595,[],PRW.402,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['3_cycle_participant'; 'feedforward_loop_participant'],left,355,5,
720575940633129171,[],PRW.254,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'],right,25,299,
720575940650760825,[],PRW.201,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,45,337,
720575940646039092,[],PRW.250,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],right,15,273,
720575940633895469,[],PRW.224,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],right,33,346,
720575940625941022,[],PRW.259,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,27,262,
720575940633129683,[],PRW.305,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'],right,25,290,
720575940631572141,[],PRW.283,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,32,260,
720575940607166731,[],PRW.292,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],left,16,299,
720575940637896245,[],PRW.269,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['feedforward_loop_participant'; 'reciprocal'],left,15,245,
720575940631070239,[],PRW.300,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_6,['3_cycle_participant'; 'feedforward_loop_participant'],left,19,270,
720575940653233569,[],PRW.267,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_2,['feedforward_loop_participant'],left,0,333,
720575940639786830,[],PRW.236,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_2,['feedforward_loop_participant'],right,0,572,
720575940613347474,[],PRW.279,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_2,['feedforward_loop_participant'],left,0,467,
720575940633759840,[],PRW.215,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_2,['feedforward_loop_participant'],right,0,587,
720575940620528990,[],PRW.313,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_2,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,17,197,
720575940632743649,[],PRW.364,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_2,['feedforward_loop_participant'],right,0,147,
720575940638086256,[],PRW.385,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_2,['feedforward_loop_participant'],right,20,128,
